,A,AcrR,OmpR,FliZ,QseB,ihfB,HdfR,Crp,rcsB,hns,LrhA,Fur,YjjQ
R2,,0.19976886337312638,0.16270928240986138,0.1447311851441072,0.1203881492712473,0.10316276200370944,0.09870695938842011,0.09480125260457883,0.047899850043306436,0.0349274716784711,0.026803828162887067,0.0008396631956627543,0.0
xmin,,-2.8311796535,-7.3287963615,-2.1896761165,-2.7869062775,-2.385835026,-2.003718542,-9.852476477,-8.931931499000001,-1.997976621,-2.7340717195,-9.893921886,-0.753500006
xmid,,,-0.043612312378332484,,-0.10008468522691488,0.05504115306988896,-0.2213788418433433,0.4190924379276481,-0.021273610102627485,1.1159973681605022,-0.01817828257063169,-0.06405767539874066,
xmax,,2.5505601745,2.2841397175,7.1670466815000005,2.6188508395,1.646649845,2.037093884,1.6003325529999999,1.9262978510000002,2.38016355,2.7658080765,2.690967164,2.6991632880000003
ystart,,-4.555386596114651,0.004217893391911379,-2.272721603672803,-0.16617499981554307,-0.20756848782984078,-0.09142137887938845,-0.3337059644479494,-0.43201276858384674,-0.6234297907488986,-0.41864086726697164,-0.6575876662667942,-0.7205731039109203
yend,,2.4250985661090603,-4.692373285339961,1.4488801447390216,-6.873433774205101,-3.7124508083677163,-3.661121979602787,-4.277473791575563,-4.950627930782442,-5.1413617401375875,-2.405928685571923,-1.3974889549914558,-0.7205731039109203
control__wt_glc__1,0.0449364842,0.046965320500000005,-0.0126966675,-0.1284050565,0.0766069895,0.08337238500000001,-0.076614902,0.012478646000000001,-0.008349429,0.11716061,0.07869825750000001,-0.05856442,0.753500006
control__wt_glc__2,-0.0449364842,-0.046965320500000005,0.0126966675,0.1284050565,-0.0766069895,-0.08337238500000001,0.076614902,-0.012478646000000001,0.008349429,-0.11716061,-0.07869825750000001,0.05856442,-0.753500006
fur__wt_dpd__1,-4.0821320181,-0.9106521515,0.8978087645,1.0272767965,0.2712679575,0.7158603250000001,0.022973089000000002,0.077574131,0.16426901500000002,-0.21220296,-0.5031132215,-0.195719219,0.290978764
fur__wt_dpd__2,-4.7232211143,-1.2225559645,0.9841469155,1.0981969385,0.1630759485,0.8566654450000001,0.10872490500000001,-0.090682171,0.258153597,-0.15081341,-0.5198833465,-0.214364089,0.155531935
fur__wt_fe__1,0.1666514049,-0.3951154445,-0.3913158705,-0.2973695505,0.4475055375,-0.076995065,-0.27053592200000004,-0.030513673,-0.042768621,-0.56740864,-0.1379124155,-0.127927685,0.180396789
fur__wt_fe__2,0.5170906133000001,-0.1326430735,-0.1608317955,0.1051134615,0.14280749850000002,-0.086717445,-0.37025405100000003,0.05819072,0.023468409000000003,-0.57501992,-0.13324547550000002,-0.036050093000000005,-0.544176643
fur__delfur_dpd__1,-4.6038648687,-1.2502470195,1.0269929655,0.5904138855000001,-0.21889194050000002,0.689803445,-0.039285198,-0.105981984,0.042059161000000005,0.028218820000000002,-0.6001568435,-9.893921886,0.08697821
fur__delfur_dpd__2,-3.3334222311,-1.1532057844999999,0.7465730295,0.6879863725,-0.46831694150000003,0.621869415,-0.16307359,-0.22346684100000003,0.147229135,0.13773749,-0.7398900545,-9.018917863,0.17146029200000001
fur__delfur_fe2__1,-0.269237179,-0.0009778535,-0.0156485235,0.6539038715000001,0.3682195025,0.365818715,-0.37394942400000003,0.436429913,0.13577835900000002,-0.38894031,-0.2121207075,-9.893921886,0.424586764
fur__delfur_fe2__2,-0.1048284228,-0.0391072815,-0.07211176250000001,0.4289630795,0.2249971465,0.335810425,-0.28263865600000004,0.367563393,0.09420763700000001,-0.41893693,-0.1379920715,-9.893921886,0.043207684
acid__wt_ph5__1,-0.9896082754000001,-0.4972353245,0.48080166950000003,0.2596557335,0.6559040315,0.284257435,0.09336382700000001,0.345522573,0.12053480800000001,-0.14121664,-0.7166051435,-0.38185324400000004,-0.022299436000000002
acid__wt_ph5__2,-0.8975693086000001,-0.6415501775,0.4476175195,0.6502983585000001,0.6930688195,0.301657345,0.0026896560000000003,0.343136463,0.125488184,-0.11730537,-0.6779587455,-0.429145386,-0.14914717400000002
acid__delgadx_ph5__2,-0.0122375143,-0.8093327745000001,0.47636920650000003,0.6585149755,0.7503276515,0.036205125000000005,-0.17459902200000002,0.33938771300000004,0.25919108700000004,0.03221592,-0.6965549045,-0.37117846200000004,0.37258968400000003
acid__delgadw_ph5__1,-1.0887956431,-0.5448197145,0.30114342450000003,0.5825865305,0.7028980705,0.19517709500000002,-0.155325976,0.383863793,0.15171188600000002,-0.05329888,-0.7415503835,-0.452975416,-0.02667086
acid__delgadw_ph5__2,-1.0931194902,-0.4981961985,0.36205020450000003,0.8773572265,0.7715243295,0.183183425,0.07689311800000001,0.33986178300000003,0.06164682900000001,-0.07889036,-0.6235256615,-0.39381758800000005,-0.17837649800000002
acid__delgade_ph5__1,-0.9677921595000001,-0.5884641045,0.5208449365,0.3083133565,0.7961991235,0.33218594500000004,0.18077854000000002,0.43240872300000005,0.108337662,-0.15523974000000001,-0.7384759415000001,-0.353113338,-0.279788933
acid__delgade_ph5__2,-1.2052366711,-0.6033224255,0.4388766685,0.6903257665,0.8994898795,0.239560985,0.167180731,0.482436193,0.072209356,-0.13083348,-0.6436334805,-0.38769100100000004,-0.23489735900000003
oxidative__wt_pq__1,-4.3654154901,-1.3419230205,1.6675239165,0.6379101805,0.5750418545,0.946614625,0.634804337,0.17662370300000002,0.23190697000000002,0.48668311000000003,-0.1813125325,0.358912004,0.003993614
oxidative__wt_pq__2,-4.87843348,-1.7122936645,1.7681886635000001,0.6319914995,0.7741312425,0.9488081850000001,0.691011708,0.24038529300000003,0.236120992,0.38230353,-0.0936904305,0.424605604,-0.15359504100000002
oxidative__deloxyr_pq__1,-2.6136999664,-0.8487534515,2.2664033475,0.5573718185000001,1.1167751915,0.874908725,1.141225435,0.513155013,0.630127003,0.55926339,0.5438408995,0.7270403440000001,-0.31114351700000004
oxidative__deloxyr_pq__2,-3.2214486143,-0.7180127445000001,2.2841397175,0.6224436555,0.7881593435,0.9672342150000001,1.130931455,0.536337303,0.646838733,0.64062106,0.5259109055,0.680972684,-0.044495656
oxidative__delsoxr_pq__1,-4.2548761378,-1.4376148605,0.8586901355000001,0.7196819015,0.7130859625,1.071325345,0.558598084,0.334672533,0.14160092,0.30159602,-0.1336066195,-0.46000364200000005,0.19244512400000002
oxidative__delsoxr_pq__2,-4.6084645263,-1.4854305045,0.8787264795,0.1697800475,0.9134489375,1.168231695,0.633141743,0.387059873,0.10364316300000001,0.24839989999999998,-0.3366177175,-0.471555094,0.24691849000000002
oxidative__delsoxs_pq__1,-4.4628323686,-1.3951923585000001,1.2742078985,0.6189384355,0.6124599505,1.135143795,0.8870463930000001,0.513462963,0.33070318400000004,0.32007261,0.0637793255,-0.492841931,-0.129427112
oxidative__delsoxs_pq__2,-4.5537378831,-1.2333569055,1.2808481675,0.8666765095000001,0.6671209055,1.020138575,0.9329181070000001,0.5104807530000001,0.268074327,0.31466579,0.1300212155,-0.53716116,-0.163951238
nac_ntrc__wt_csn__1,-1.9400165039,0.062245572500000006,0.5813607155,0.8967490335,0.16240139450000002,0.172544145,0.307232214,-0.07279683,0.100205557,-0.14105018,0.22564485950000002,0.35313890400000003,0.26622132800000003
nac_ntrc__wt_csn__2,-1.7470592641,-0.15005609250000002,0.5250616165,0.6943545345000001,0.1797611485,0.213025175,0.22430844300000002,-0.093243951,0.038323557,-0.20188572,0.23319438850000002,0.217593104,0.30632822800000004
nac_ntrc__wt_cytd__1,-1.1133644563,0.24394740050000002,0.5383131135,-0.1759698035,0.2471864555,0.457530655,-0.07894015700000001,-0.043119613,0.11874911,0.01979154,0.1043698375,0.346499224,0.5980084130000001
nac_ntrc__wt_cytd__2,-1.896008695,-0.0261151955,0.5782536755000001,0.4355141155,0.1920161695,0.597994515,0.10546145300000001,-0.07348926,0.12854416700000001,0.16168658,0.1347198885,0.345243954,0.108837679
nac_ntrc__wt_gln__1,-0.2584724122,0.1439418775,0.8457322555000001,0.9296836405000001,0.4865599605,1.040972635,0.102110355,0.16383650300000002,0.168085757,0.37983694,0.048561043500000005,-0.107863365,0.42502699400000005
nac_ntrc__wt_gln__2,-0.8663641298,0.0186299345,0.9669782635,0.7808863245000001,0.5200176765,1.115534085,-0.006330186000000001,0.11651884600000001,0.08297951,0.41889962000000003,0.0918970545,-0.193602928,0.541991752
nac_ntrc__bw_delnac_csn__1,-3.5791018578,-0.5884769865,0.7899459955,0.9823133015000001,0.8844553605000001,0.215499185,0.306589822,0.16921202300000002,0.162635197,-0.72500221,-0.8175301855,0.189864784,1.088885438
nac_ntrc__bw_delnac_csn__2,-2.4369274435,-0.9947877295,1.2358673395,0.5109296265000001,1.0085055195,-0.16648385500000001,-0.308867671,0.03216219,-0.036419338,-1.06691429,-0.4860586985,0.311143514,-0.14973517
nac_ntrc__bw_delnac_cytd__1,-0.5592276083000001,-0.2995923575,0.6289478975,0.4909895845,0.5655909905000001,0.46454559500000003,0.08971780800000001,0.29367586300000004,0.211951476,-0.14804482,-1.3393257695,-0.02804138,0.250693634
nac_ntrc__bw_delnac_cytd__2,-0.37145694900000004,-0.48116095950000004,0.4997017365,0.3315756375,0.4031939695,0.423041565,-0.050095327,0.22863865300000003,0.13820242800000002,-0.26308135,-1.1982590885,-0.165441159,-0.09328823800000001
nac_ntrc__bw_delnac_gln__1,-0.07473269960000001,-0.1249993435,0.6439744135000001,1.1338019695,0.8654977385,0.8464916450000001,-0.053039355,0.505105143,0.40291679900000005,0.03699667,-1.3446060135,-0.358506798,0.040736125000000005
nac_ntrc__bw_delnac_gln__2,-0.8960790343,-0.5961041845,0.7248375975,0.8423167795000001,0.6002306185,0.8042016750000001,0.12107915600000001,0.563775123,0.338969683,0.12667077000000002,-1.0361648105,-0.237658523,0.37363771700000004
nac_ntrc__bw_delnac_nh4__1,0.030967417,-0.3037233345,0.1037203085,4.1206323985,-0.6749487625,-0.302034215,-0.35775534400000003,0.339165103,0.14955079000000002,-0.24249227,-0.9406910145,-0.48028834600000003,0.287697615
nac_ntrc__bw_delnac_nh4__2,0.2414148006,-0.2491860055,-0.0229902095,4.1800953755,-0.4902928965,-0.19284083500000002,-0.26492860300000004,0.360235063,0.09878370600000001,-0.26696523,-1.1281218365,-0.45890349,-0.036019152000000006
misc__wt_no_te__1,-1.8286346284000001,-0.2261715155,0.5624659635,0.47294876550000003,0.6407835685000001,0.868944275,0.213379421,0.32216916300000004,0.126950543,0.18538134,-0.1800139645,-0.380946999,-0.010844426
misc__wt_no_te__2,-2.0000247377,-0.27666854350000003,0.2955410415,0.4528387015,0.8397633265000001,0.509379655,0.138615868,0.315987593,0.078327955,0.04769501,-0.41281547150000003,-0.424414491,0.05050267
misc__bw_delcbl__1,0.6830493341,-0.5071881915,-0.0310592095,0.3330587775,0.44539351650000003,-0.339403675,-0.526070667,0.30577407300000004,0.024149814000000002,-0.25008186,-0.5708825405,-0.46137134300000004,0.540714938
misc__bw_delcbl__2,0.3012382816,-0.4619256775,-0.0556702525,0.4261567565,0.5686178505,-0.297203465,-0.503132415,0.322569413,0.10651987600000001,-0.22467193,-0.4220998045,-0.424360053,-0.555493621
misc__bw_delfabr__1,1.8931939294000002,-0.35916223550000004,-0.3772684395,5.0187083265,-1.0116669015,-0.6204796650000001,-0.5677452980000001,0.194465293,-0.076234008,-0.42875787,-0.5785213485,-0.5693764170000001,-0.054547785
misc__bw_delfabr__2,1.8715090994999999,-0.6686595645,-0.2503541515,5.0665612585,-1.4396359855,-0.5922961330000001,-0.6632256990000001,0.13385438500000002,-0.067101622,-0.44294003,-0.6039303085000001,-0.613082707,-0.24858987500000002
misc__bw_delfadr__1,0.8496630201,-0.5329842485,0.0706361115,2.3434754145,-0.0003460025,-0.26224984500000004,-0.39076708,0.325118883,0.01578738,-0.24506315,-1.3707326965,-0.44849048700000005,0.302424866
misc__bw_delfadr__2,0.2850732442,-0.3696172615,-0.1550542655,2.6874843105,0.1809657825,-0.136506935,-0.33145434100000004,0.343466333,-0.024825562000000002,-0.18162453,-1.3916816205,-0.440752898,0.18788120900000002
misc__nitr_031__1,-1.0753052473,-1.3038500975,0.5799196735000001,0.2716637885,0.2900279075,0.036167395000000005,-0.099226012,0.215598863,0.19850430800000002,0.0755795,-1.2609789745,-0.50327982,0.163509022
omics__wt_glu__1,0.0303044204,0.2274605205,0.1015298355,0.9750987565,0.4121090475,-0.13827825500000002,-0.42505803400000003,0.348125933,0.940534277,-0.34721862000000003,-0.6844338165,-0.630133567,0.61363384
omics__wt_glu__2,0.26427543340000004,0.13019484450000002,-0.0315778465,1.1510341975,0.2861372635,-0.251474605,-0.41923265400000004,0.319898823,0.946766764,-0.19832874,-0.7611428955,-0.588191276,-0.055321311000000005
omics__wt_gly__1,1.0291777181,-0.4089084275,0.10879134650000001,0.7552429835000001,-0.1000800055,-0.8723242170000001,-0.6133214220000001,0.31218181300000003,0.476395614,-0.8712711200000001,-0.6596658815,-0.904279075,0.088726287
omics__wt_gly__2,0.1086919101,-0.3633936185,0.0533057985,0.5501307025000001,0.2998326055,-0.871424807,-0.778774956,0.348980073,0.524635783,-0.85417863,-0.8480825615,-0.918647058,0.9845571040000001
omics__wt_thr__1,-3.039603149,-0.24341059450000002,0.8866898015,1.0339362845,0.7596424895,-0.185728995,-0.264988656,0.883560683,0.6793390370000001,-0.44451516,0.4083199115,-0.50309914,2.6991632880000003
omics__wt_thr__2,-2.5290449518,-0.2074446285,0.8338375125,1.1341204635,0.8158390125,-0.34076356500000005,-0.140161167,1.1275514229999999,0.8439817220000001,-0.50677285,0.35819899650000003,-0.609504574,1.998411403
omics__bw_ac__1,1.1787060372,0.5001916335000001,0.3684764575,2.0972930665,-0.0738750735,0.647908585,-0.068093676,0.46435899300000005,0.11975411200000001,0.07924673,1.3693984614999999,-0.059433047,0.7786962980000001
omics__bw_ac__2,1.2841432352,0.2864983215,0.3689345265,2.2616698835,-0.3131064955,0.605473425,0.309447607,0.46188222300000004,-0.01304259,0.14440285,1.3922911465,-0.031227748000000003,0.635241481
