locus,gene_weight,gene_name,gene_product,cog,regulator,fhlA,link
STM2853,0.25870021330000004,hycA,transcriptional repressor of hyc and hyp operons,Amino acid transport and metabolism,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2853
STM2852,0.23611003500000002,hycB,hydrogenase-3%2C iron-sulfur subunit,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2852
STM2850,0.23367888480000001,hycD,hydrogenase 3%2C membrane subunit,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2850
STM2843,0.2298252449,hydN,electron transport protein (FeS center) from formate to hydrogen,Energy production and conversion,"fhlA,flhD;flhC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2843
STM2851,0.2252659948,hycC,hydrogenase 3%2C membrane subunit,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2851
STM2849,0.2134578501,hycE,hydrogenase 3%2C large subunit,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2849
STM2848,0.1950124018,hycF,hydrogenase 3,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2848
STM2847,0.1919575006,hycG,hydrogenase activity,Energy production and conversion,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2847
STM2846,0.1815604572,hycH,protein for processing of HycE,Amino acid transport and metabolism,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2846
STM2845,0.1786374942,hycI,protease involved in processing C-terminal end of HycE,Amino acid transport and metabolism,"fhlA,ihf,modE,nsrR,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2845
STM2844,0.1536574224,STM2844,putative periplasmic or exported protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2844
