,-0.10901163594543381,-0.08720930875634705,-0.0654069815672603,-0.04360465437817354,-0.021802327189086784,-2.7755575615628914e-17,0.02180232718908673,0.043604654378173485,0.06540698156726024,0.087209308756347,0.10901163594543375,0.1308139631345205,0.15261629032360727,0.17441861751269402,0.19622094470178078,0.21802327189086754,0.2398255990799543,0.2616279262690411,0.2834302534581278,0.3052325806472146
thresh,-0.11991279953997719,0.11991279953997719,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,17,586,2790,442,30,3,0,0,0,1,0,0,0,0,0,0,0
fhlA,0,0,0,0,0,0,2,4,0,1,0,0,0,2,2,2,3,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],['STM2844'],[],[],[],[],[],[],[]
fhlA_genes,[],[],[],[],[],[],['hypC' 'hypB'],['fhlA' 'hypD' 'hypA' 'hypE'],[],['hypF'],[],[],[],['hycI' 'hycH'],['hycG' 'hycF'],['hycE' 'hycC'],['hydN' 'hycD' 'hycB'],['hycA'],[],[]
