,fabZ
Cr_1,0.005596330618855623
Cr_2,0.012801158264014132
Cr_3,0.019715391231080213
Cr_4,0.02534988295160105
Cr_5,0.02771555555587154
Cr_6,0.026847351935299416
Fe_1,-0.0025366095878050538
Fe_2,-0.002221126933653734
Fe_3,0.0013343746724111785
Fe_4,0.00821262730892406
Fe_5,0.0237391518887057
Fe_6,0.042169199606116384
Cd_1,0.0030935535891553193
Cd_2,0.006020433080558084
Cd_3,0.009381566730218812
Cd_4,0.01111807270474682
Cd_5,0.00785275913003267
Cd_6,0.012304791775387387
Zn_1,-0.008955193920782464
Zn_2,-0.007606651072647991
Zn_3,0.0015406673850650086
Zn_4,0.012167964394704234
Zn_5,0.02278138981179101
Zn_6,0.02820723329628632
Cu_1,0.002215962289435671
Cu_2,0.005992946614319403
Cu_3,0.008752451275941767
Cu_4,0.010582438009587844
Cu_5,0.013331967522976534
Cu_6,0.01928323339285976
Pb_1,0.0024090863125810274
Pb_2,0.0042076146372107045
Pb_3,0.004233687892004764
Pb_4,0.00770573702611746
Pb_5,0.012753813840380272
Pb_6,0.016294894927141028
