,yajC
Cr_1,-0.012129738506922632
Cr_2,-0.007339601686194687
Cr_3,-0.013935988090027029
Cr_4,-0.01513992571523181
Cr_5,-0.02007198133651364
Cr_6,-0.029135585666924133
Fe_1,-0.01283763248810623
Fe_2,-0.023884776115884455
Fe_3,-0.044630993731060616
Fe_4,-0.05851776754890658
Fe_5,-0.0815575939551687
Fe_6,-0.08886987557938457
Cd_1,-6.431003666081062e-06
Cd_2,0.004547356962490157
Cd_3,0.008808357615534754
Cd_4,0.01294996896664204
Cd_5,0.011575403576693356
Cd_6,0.011354825745929812
Zn_1,-0.027151655190786536
Zn_2,-0.057921893439522476
Zn_3,-0.07195119127294411
Zn_4,-0.07406967561250104
Zn_5,-0.07241258242944812
Zn_6,-0.07158994226110693
Cu_1,-0.0008047057080679014
Cu_2,0.0057312413601369044
Cu_3,0.010641415545052765
Cu_4,0.01828593328547689
Cu_5,0.02818190819850268
Cu_6,0.033392521968945696
Pb_1,0.0064720998367351215
Pb_2,0.01060851937393818
Pb_3,0.02233160510536553
Pb_4,0.0188291943084972
Pb_5,0.026947365788063476
Pb_6,0.039733067546576836
