,insB_4
Cr_1,0.003988957135956898
Cr_2,0.009455001983531249
Cr_3,0.020707725854207527
Cr_4,0.033423474616333534
Cr_5,0.04821037323990272
Cr_6,0.05549156102488709
Fe_1,-0.007014272649940407
Fe_2,-0.0274132074056074
Fe_3,-0.04797987668548168
Fe_4,-0.07171068448228902
Fe_5,-0.10104427548126453
Fe_6,-0.12155822298943506
Cd_1,-0.007815459256310688
Cd_2,-0.009498845475071157
Cd_3,-0.006519213066455103
Cd_4,-0.0034185213021360253
Cd_5,-0.0036824946643248843
Cd_6,0.0006952788381624117
Zn_1,-0.003245463617240977
Zn_2,-0.0017432157972964864
Zn_3,0.0031530400851646828
Zn_4,0.012689310602530623
Zn_5,0.021176082904455627
Zn_6,0.029539689591934818
Cu_1,-4.977194215386654e-05
Cu_2,0.005129579889834626
Cu_3,0.01157733377951658
Cu_4,0.016675544110350812
Cu_5,0.02190808008602127
Cu_6,0.03086480015655262
Pb_1,0.0010701457248439151
Pb_2,0.007394878613438524
Pb_3,0.01785725550914129
Pb_4,0.03414258994575558
Pb_5,0.0497821603910357
Pb_6,0.05975894026550719
