,A,GlnR
R2,,0.8371842874919916
xmin,,-3.239367236
xmid,,-2.303583126404092
xmax,,1.0341635733
ystart,,-6.840601535324947
yend,,2.6832880281133416
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,0.3295263841,0.0621041867
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.6845159079,-0.19090187
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.35498952380000004,0.1287976833
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,-5.5006504673,-2.5342059462
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,-5.1223345652,-2.4272980064
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-7.3667709319,-2.459992012
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,-5.5510875524,-2.8956887661
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,-4.3242356181,-2.6974129972
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-7.0035686033,-3.239367236
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,1.1678935975,0.7031083183
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,2.4705127717,0.7846597678
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,0.6286067513,0.0193201422
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,1.8554401292,0.3473226132
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,1.2514065398,0.8065811506
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,2.0551008585,0.6531567629
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-2.4269585769,-1.2306214942
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,2.3926760969,0.4459287449
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,3.0110348999,0.4569077496
