,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,-3.333333146541643e-11,0.175742841720058,3.0,0.0,0.19772194340000002,6.0,-0.1384219529,12.0,-0.059299990600000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-2.0543982404,1.3138555361123057,3.0,1.0,-3.5628798739,7.0,-1.4400814774000001,13.0,-1.1602333699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-2.305933405133333,0.5658558887858001,3.0,2.0,-2.9573670752,8.0,-2.0240174491,14.0,-1.9364156911000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-1.6934740007,0.2596745433328701,3.0,3.0,-1.9678352388,9.0,-1.4515303074,15.0,-1.6610564559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-1.9280961180000002,0.6111376348913297,3.0,4.0,-2.4936331665,10.0,-2.0108615783,16.0,-1.2797936092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-1.4237120809,1.1618812587915974,3.0,5.0,-2.7588761146,11.0,-0.6422405919,17.0,-0.8700195362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-1.1743171483000001,1.7327330068084341,2.0,18.0,0.050910110800000005,71.0,-2.3995444074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,0.17223907009999997,2.126533300142113,3.0,19.0,-2.2526803844,70.0,1.7193151538,205.0,1.0500824409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,-0.38590033755,0.7629511543650754,8.0,20.0,0.2377756702,32.0,-1.2617895615,55.0,-0.2007413392,67.0,0.4293394654,126.0,0.11366833030000001,147.0,-0.4551857569,203.0,-0.1780011262,210.0,-1.7722683825,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,1.0504707440333332,0.30746419049950713,3.0,21.0,0.7441519921,34.0,1.0481925277,61.0,1.3590677123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,1.4588889580375,1.024852922024748,8.0,22.0,1.1265947631,104.0,3.6298209033,111.0,1.2708240321,133.0,0.9313515099,165.0,0.6881023759,238.0,2.3546505951,265.0,0.6935161716,270.0,0.9762513133,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,1.2006069600571432,2.4765525662137584,7.0,23.0,-0.0050674246,56.0,0.104130448,82.0,0.7537053315000001,118.0,6.6496158538,134.0,-0.8013026137,137.0,0.8767690844,227.0,0.826398041,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,-0.7290779716250001,0.5781181238481867,4.0,24.0,-0.7045288547,101.0,-0.7670573023,139.0,-1.4296557395,149.0,-0.01506999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,-1.450460385225,1.9127190359188255,4.0,25.0,-2.4441952737,123.0,-1.8199992751,155.0,-2.8809499854,191.0,1.3433029933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,-0.33380931529999996,0.9033584425353369,3.0,26.0,-1.3020489658,59.0,0.48637666430000004,159.0,-0.1857556444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,1.38334911926,0.38629831237894835,5.0,27.0,1.3158538429,76.0,1.3545814608,146.0,1.8524425383,162.0,0.8083644282,262.0,1.5855033261,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,0.38809653917499987,1.4796657886710547,4.0,28.0,1.1597942303,94.0,2.0921213942,186.0,-0.8027889811000001,231.0,-0.8967404867000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,0.09313966343333335,1.0132267145484808,3.0,29.0,1.1732595451,49.0,-0.8363225835,260.0,-0.057517971300000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,1.3945801039399999,3.4336448155638166,5.0,30.0,4.046906719,77.0,-0.9659093310000001,172.0,-1.1686918192,259.0,6.0942032812,280.0,-1.0336083303,,,,,,,,,,,,,,,,,,,,,,,,,,
19,abx_mega__ctx_h2o,-0.405111309275,1.0132755929858304,4.0,31.0,0.7513892233,40.0,-0.2252360767,138.0,-1.71258927,192.0,-0.4340091137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,abx_mega__phos_h2o,-1.0219782977285716,0.41402911960585076,7.0,33.0,-1.1954630743,39.0,-0.5908190265000001,58.0,-0.48720107,122.0,-1.2288511004,170.0,-1.5755662990000001,244.0,-0.7406767993000001,261.0,-1.3352707146,,,,,,,,,,,,,,,,,,,,,,
21,abx_mega__polmyx_h2o,0.31187162045714284,2.034013595028887,7.0,35.0,-0.3954683091,79.0,-1.6131836857000001,92.0,4.2514614576,208.0,1.6362957442,251.0,0.1752096193,263.0,-1.2608387714,299.0,-0.6103747117,,,,,,,,,,,,,,,,,,,,,,
22,abx_mega__h2o-8b,-0.28449924153333334,0.7303230807205381,3.0,36.0,0.42479296600000005,234.0,-1.034177275,275.0,-0.24411341560000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,abx_mega__h2o-6,-0.8320916532333333,1.2946274421761603,3.0,37.0,-0.1130487005,214.0,-0.0565831132,307.0,-2.326643146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,abx_mega__thio_dmso,-0.026523594174999998,0.924397132341449,4.0,38.0,0.0682308367,102.0,1.1599044943,248.0,-1.0709872592,269.0,-0.2632424485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,abx_mega__lzd_dmso,-0.5433595703,0.8174220548365079,4.0,41.0,0.1524532251,178.0,-1.7195546292000001,249.0,-0.4070015374,309.0,-0.1993353397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,abx_mega__naoh-9,-0.45445576810000005,0.5425159940571904,2.0,42.0,-0.8380725064000001,294.0,-0.07083902980000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,abx_mega__dox_dmso,0.8290078144625002,2.7967764374025568,8.0,43.0,-1.9560230126,142.0,1.6922593008,166.0,-1.1356818884,177.0,0.5786698168000001,221.0,-1.6396047735,256.0,4.3423507142,282.0,-0.7161784015,305.0,5.4662707599,,,,,,,,,,,,,,,,,,,,
28,abx_mega__phos_ethanol,0.59528423605,1.1567523661383339,2.0,44.0,1.4132316783,154.0,-0.22266320620000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,abx_mega__teix_dmso,-0.7546086898555555,0.9499646867147526,18.0,45.0,-1.3917208181,54.0,1.2549306096000001,106.0,0.1582187618,108.0,1.4219279691,135.0,-0.743424505,143.0,-1.308340596,150.0,-1.9331698349000002,183.0,-0.5479967147,204.0,-1.4210584996,226.0,-1.1227841966,253.0,-0.7643933048,255.0,-1.0504520601,257.0,-1.176611746,264.0,-0.8621887161,268.0,-1.4023976388000001,284.0,-1.9439983646,300.0,-0.9262648841000001,306.0,0.17676812150000001
30,abx_mega__dmso-10,-0.05621473200000001,0.8014253883340748,3.0,46.0,-0.2080117299,57.0,-0.7708862215000001,66.0,0.8102537554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,abx_mega__van_dmso,0.2979340322,1.0790752788902043,5.0,47.0,-0.2332515412,72.0,-0.8604597153,112.0,2.0034187304,156.0,0.5397563384,212.0,0.0402063487,,,,,,,,,,,,,,,,,,,,,,,,,,
32,abx_mega__ramo_h2o,-1.6211751055666666,0.5024304187839336,3.0,48.0,-1.8752796597999999,184.0,-1.9457969171,266.0,-1.0424487398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abx_mega__h2o-7,-0.9475328379000002,0.9914410638784154,3.0,50.0,0.1686897383,245.0,-1.7258502872,258.0,-1.2854379648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,abx_mega__cro_h2o,-0.8387073111,0.9246865662846734,4.0,51.0,-1.2373232859,119.0,-1.5167967575999999,120.0,-1.1270312188,278.0,0.5263220179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,abx_mega__tric_ethanol,2.2256325976999998,1.4619643324100355,2.0,52.0,1.1918677044,182.0,3.259397491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,abx_mega__nor_naoh,0.17622025694000001,0.396022062706462,5.0,53.0,0.1510637954,90.0,0.1431659025,100.0,0.2345246574,216.0,0.7339409123,293.0,-0.3815939829,,,,,,,,,,,,,,,,,,,,,,,,,,
37,abx_mega__rfp_ethanol,-1.5481383009499998,3.9296629050668535,2.0,60.0,-4.3268295889,78.0,1.230552987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,abx_mega__amyc-d_dmso,1.3727966003,1.0477234617029185,8.0,62.0,1.5798291721000002,91.0,2.0097794806,103.0,1.9130321870000002,105.0,-0.2580374949,117.0,0.8308558835000001,141.0,1.5495254819,174.0,0.30539367440000004,201.0,3.0519944178,,,,,,,,,,,,,,,,,,,,
39,abx_mega__sxt_dmso,0.12417994720000003,1.087852617987893,4.0,63.0,-0.8943699796000001,181.0,0.8386076182000001,207.0,1.2652238686000001,239.0,-0.7127417184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,abx_mega__dmso-1,0.15008230775,0.3787217987085749,2.0,64.0,0.4178790598,180.0,-0.1177144443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,abx_mega__pen_h2o,-1.1068697714199998,0.810247961638805,5.0,65.0,-2.0751843294,69.0,-1.7706887616,211.0,-1.0292344289,233.0,-0.4589626965,308.0,-0.2002786407,,,,,,,,,,,,,,,,,,,,,,,,,,
42,abx_mega__cip_naoh,-0.12994832114,0.7999119733279052,5.0,68.0,-0.10859507880000001,81.0,0.983783645,128.0,0.084449016,217.0,-1.2301681588,240.0,-0.37921102910000004,,,,,,,,,,,,,,,,,,,,,,,,,,
43,abx_mega__h2o-1b,-0.5740524949,0.4500086344328976,2.0,73.0,-0.8922566519,95.0,-0.2558483379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,abx_mega__ery_h2o,0.7786635481749999,2.848649547674367,4.0,74.0,-0.07848822650000001,124.0,-1.5285009182,131.0,-0.21602204600000002,196.0,4.9376653834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,abx_mega__bacit_h2o,-0.27405278207999995,2.2015748770393304,5.0,75.0,-1.4263622684000001,87.0,-1.2159390641,89.0,-1.3147280702,127.0,-1.0705173692,194.0,3.6572828615,,,,,,,,,,,,,,,,,,,,,,,,,,
46,abx_mega__tric_h2o,1.48897801535,0.37099317561316403,2.0,80.0,1.7513098056,243.0,1.2266462251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,abx_mega__bacit_dmso,1.2072448955,0.6619981758726546,3.0,83.0,0.9725167307,85.0,0.6945942151000001,304.0,1.9546237407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,abx_mega__gen_h2o,4.1713861829,0.9205780459461725,2.0,84.0,3.520439204,121.0,4.8223331618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,abx_mega__chl_dmso,-1.0393629501333335,0.565050447363296,3.0,86.0,-1.6561694287000002,148.0,-0.9151995927000001,202.0,-0.546719829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,abx_mega__lvx_dmso,0.41621758000000003,0.6421638278422986,2.0,88.0,-0.0378608173,168.0,0.8702959773000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,abx_mega__naoh-6,-0.40901295111999997,1.0654709564285574,5.0,93.0,-1.2003953017,144.0,-0.6576888668,153.0,-1.4016826288,200.0,1.2403609592,252.0,-0.0256589175,,,,,,,,,,,,,,,,,,,,,,,,,,
52,abx_mega__rfp_h2o,2.719787210733333,0.5604099726919658,3.0,96.0,2.1137113722,237.0,3.2192007801,285.0,2.8264494799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,abx_mega__tet_h2o,0.321714215475,2.617152168097967,4.0,97.0,0.0376537543,169.0,4.0803859233,179.0,-1.0259175683,215.0,-1.8052652474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,abx_mega__flavo_dmso,-1.840278846975,0.7372309461004485,4.0,98.0,-2.9041317467,132.0,-1.3771230968000001,223.0,-1.3120996007,297.0,-1.7677609437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,abx_mega__zeocin_h2o,2.7139090764,3.1059009482546376,5.0,99.0,-0.42447268720000003,173.0,3.5262993377000003,193.0,5.0863218131,213.0,6.0408958498,292.0,-0.6594989314,,,,,,,,,,,,,,,,,,,,,,,,,,
56,abx_mega__valin_dmso,0.8575095213333332,2.095911805886628,3.0,107.0,2.7644421394,140.0,1.1946059929,276.0,-1.3865195683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,abx_mega__ethanol-10,-0.6562171320666667,0.8262648477563834,3.0,109.0,-1.1665021565,115.0,-1.0992296843,286.0,0.2970804446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
