,b4491_1
control__wt_glc__1,3.7553669892
control__wt_glc__2,3.9024267992
fur__wt_dpd__1,3.4105542581
fur__wt_dpd__2,3.1515534491
fur__wt_fe__1,3.5783300561
fur__wt_fe__2,3.2795394551
fur__delfur_dpd__1,3.4339623205
fur__delfur_dpd__2,3.1283435337
fur__delfur_fe2__1,3.1304422307
fur__delfur_fe2__2,2.9826499568
acid__wt_ph5__1,3.3147990809
acid__wt_ph5__2,3.4742352564
acid__delgadx_ph5__1,3.0917672609
acid__delgadx_ph5__2,3.3777599026000003
acid__delgadw_ph5__1,3.4065020134
acid__delgadw_ph5__2,3.165724261
acid__delgade_ph5__1,3.3274025158000002
acid__delgade_ph5__2,3.4673570274
oxidative__wt_pq__1,3.6401651002
oxidative__wt_pq__2,3.5924752759
oxidative__deloxyr_pq__1,4.0253649613
oxidative__deloxyr_pq__2,3.971117563
oxidative__delsoxr_pq__1,3.2594645782000002
oxidative__delsoxr_pq__2,3.1482350154
oxidative__delsoxs_pq__1,3.2850594358
oxidative__delsoxs_pq__2,3.3751264272
nac_ntrc__wt_csn__1,3.8329804037
nac_ntrc__wt_csn__2,3.8772413556
nac_ntrc__wt_cytd__1,3.6794413614
nac_ntrc__wt_cytd__2,3.8986704144
nac_ntrc__wt_gln__1,4.3982527873
nac_ntrc__wt_gln__2,3.9573997380000003
nac_ntrc__bw_delnac_csn__1,4.0369260803
nac_ntrc__bw_delnac_csn__2,3.7875888137000002
nac_ntrc__bw_delnac_cytd__1,3.4356539923
nac_ntrc__bw_delnac_cytd__2,3.111078084
nac_ntrc__bw_delnac_gln__1,3.5277947727
nac_ntrc__bw_delnac_gln__2,3.6364316496
nac_ntrc__bw_delnac_nh4__1,3.9513997383
nac_ntrc__bw_delnac_nh4__2,3.6639883522
misc__wt_no_te__1,3.7649925465000003
misc__wt_no_te__2,3.4919680052
misc__bw_delcbl__1,3.1316039372
misc__bw_delcbl__2,3.242163776
misc__bw_delfabr__1,2.9905847219
misc__bw_delfabr__2,3.2112750271
misc__bw_delfadr__1,3.7432546089
