sample,new_3364544_3364617_c
LBexp_1,9.6926
LBexp_2,10.235
LBexp_3,9.934
LBtran_1,10.1603
LBtran_2,9.4758
LBtran_3,9.6277
LBstat_1,10.9269
LBstat_2,11.3036
LBstat_3,11.1212
LBGexp_1,9.8874
LBGexp_2,9.0244
LBGexp_3,9.3028
LBGtran_2,8.4397
LBGtran_3,9.0667
LBGstat_1,7.4528
LBGstat_2,7.893
LBGstat_3,8.3788
S0_1,9.7844
S0_2,9.9079
S0_3,10.1079
S1_1,11.3049
S1_2,11.0601
S1_3,11.5958
S2_1,12.769
S2_2,12.6428
S2_3,13.1852
S3_1,12.2643
S3_2,12.5867
S4_1,12.2914
S4_2,12.1397
S4_3,11.8376
S5_1,11.326
S5_2,12.0138
S5_3,11.9498
S6_1,10.4188
S6_2,9.7379
S6_3,10.6918
S6/t_1,10.2571
S6/t_2,9.4929
S6_4,10.2869
S6_5,10.4182
S6_6,11.026
S7_4,10.9725
S7_5,10.8158
S7_6,10.8718
S8_4,10.7038
S8_5,10.3955
G135_1,9.5404
G135_3,8.6085
G150_1,9.2965
G150_2,10.0377
G150_3,9.7565
G180_1,9.3977
G180_2,9.7032
G180_3,9.1171
C30_1,10.183
C30_2,10.3492
C90_1,10.2664
C90_2,10.124
BI_1,9.9076
BI_2,9.7107
BC_2,11.5224
BC/t_1,11.0445
BC/t_2,11.3459
BC_1,11.1331
Sw_1,10.1252
Sw_2,10.4631
BT_1,10.7979
BT_2,10.752
B36_1,11.7044
B36_2,11.4745
B60_1,12.0248
B60_2,12.4397
M9exp_1,11.0231
M9exp_2,10.6592
M9exp_3,10.4241
M9tran_1,10.3731
M9tran_2,10.574000000000002
M9tran_3,10.7418
M9stat_1,12.129
M9stat_2,11.5797
M9stat_3,11.4999
M+G_1,10.4379
M+G_2,10.6733
M+G_3,10.1004
Glu_1,10.887
Glu_2,11.0906
Glu_3,10.8142
Fru_1,10.9324
Fru_2,11.5126
Fru_3,10.4309
Mal_1,10.037
Mal_2,10.6292
Mal_3,10.1088
G+S_2,11.7547
G+S_3,11.4892
Pyr_1,10.8361
Pyr_2,11.4049
Pyr_3,10.8947
Gly_1,9.6763
Gly_2,10.7584
Gly_3,9.7334
Glucon_1,10.5946
Glucon_2,10.7513
Glucon_3,9.9165
aero_1,10.693
aero_2,9.6424
aero_3,9.877
nit_1,10.6512
nit_2,10.7138
nit_3,10.2092
ferm_1,10.4921
ferm_2,9.7508
ferm_3,10.1439
T-5.40H_1,11.4485
T-4.40H_1,11.4064
T-3.40H_1,11.4487
T-2.40H_1,10.8303
T-1.40H_1,10.7837
T-1.10H_1,10.918
T-0.40H_1,10.8123
T0.0H_1,10.8282
T0.30H_1,11.1172
T1.0H_1,10.745
T1.30H_1,10.9203
T2.0H_1,10.8833
T2.30H_1,11.6127
T3.0H_1,11.3013
T3.30H_1,11.6874
T4.0H_1,11.6915
T5.0H_1,11.4193
HPh_1,10.6437
HPh_2,10.1263
HPh_3,10.6449
LPh_1,10.867
LPh_2,10.9339
LPh_3,10.6003
LPhT_1,11.7277
LPhT_2,11.6518
LPhT_3,12.2507
SMMPr_1,10.8602
SMMPr_2,10.9474
SMMPr_3,11.1303
HiTm_1,10.8925
HiTm_2,9.9868
HiTm_3,10.9192
LoTm_1,12.9402
LoTm_2,12.7751
LoTm_3,12.5309
HiOs_1,12.3147
HiOs_2,12.2867
HiOs_3,12.2195
BMM_1,10.6435
BMM_2,10.6642
BMM_3,10.7476
Heat_1,11.3401
Heat_2,10.8324
Heat_3,10.9699
Cold_1,10.3865
Cold_2,10.1323
Cold_3,9.997
Etha_1,10.5073
Etha_2,10.5248
Etha_3,10.6178
SMM_1,10.6656
SMM_2,10.8377
SMM_3,11.0001
Salt_1,10.8805
Salt_2,11.0718
Salt_3,11.4019
Mt0_1,10.2919
Mt0_3,9.368
M0t45_1,9.8973
M0t45_2,9.601
M0t45_3,9.5964
M0t90_1,10.0416
M0t90_2,10.87
M0t90_3,10.4006
M40t45_1,9.2381
M40t45_2,10.194
M40t45_3,9.9389
M40t90_1,9.8819
M40t90_2,10.796
M40t90_3,10.632
dia0_1,9.4668
dia0_2,9.8454
dia0_3,9.7531
dia5_1,10.1343
dia5_2,12.1543
dia5_3,11.7969
dia15_1,12.7995
dia15_2,11.5217
dia15_3,9.4926
Diami_1,11.1894
Diami_2,11.2145
Diami_3,11.1056
Paraq_1,9.8433
Paraq_2,10.5995
Paraq_3,9.4452
H2O2_1,11.5086
H2O2_2,11.1207
H2O2_3,11.5093
Oxctl_1,9.6124
Oxctl_2,9.6974
Oxctl_3,10.1458
GM-0.1_1,10.6244
GM-0.2_1,9.9044
GM+5_1,10.4086
GM+15_1,10.747
GM+25_1,11.1576
GM+45_1,10.9617
GM+60_1,10.6872
GM+90_1,10.5349
GM+120_1,9.0722
GM+150_1,10.5189
GM-0.1_2,11.2558
GM-0.2_2,11.276
GM+5_2,10.5923
GM+10_2,10.2389
GM+15_2,10.2922
GM+25_2,11.0513
GM+45_2,9.6578
GM+60_2,9.5159
GM+90_2,10.6784
GM+150_2,10.2421
GM-0.1_3,11.273
GM-0.2_3,11.4077
GM+5_3,11.0035
GM+10_3,10.0684
GM+15_3,10.5982
GM+25_3,10.3223
GM+45_3,10.439
GM+60_3,10.1195
GM+90_3,10.4921
GM+120_3,10.4972
GM+150_3,10.8096
MG-0.1_1,10.5901
MG+5_1,10.6376
MG+10_1,11.3177
