,ycjW
Cr_1,-0.0019215843642726824
Cr_2,0.0042631451229915305
Cr_3,0.01991063130006923
Cr_4,0.02373690608852417
Cr_5,0.027822423490081225
Cr_6,0.03609747493120578
Fe_1,-0.0211407792787308
Fe_2,-0.037860776662026106
Fe_3,-0.041374368134347576
Fe_4,-0.04753422084291835
Fe_5,-0.04357984671953258
Fe_6,-0.05236095927155016
Cd_1,0.006627573129824082
Cd_2,0.011420039750536648
Cd_3,0.02200145586988529
Cd_4,0.03371009237528475
Cd_5,0.04180445574185513
Cd_6,0.044714206911833865
Zn_1,0.007856352934732412
Zn_2,0.029043321469046108
Zn_3,0.05479403089676199
Zn_4,0.07039629238939606
Zn_5,0.09898993988880277
Zn_6,0.1271236187626886
Cu_1,-0.0003195086103822474
Cu_2,0.008244822919681375
Cu_3,0.019708452430939646
Cu_4,0.02414633987107405
Cu_5,0.03137448274280251
Cu_6,0.0398151487658702
Pb_1,-0.004911985359226219
Pb_2,0.004609555111852983
Pb_3,0.002923234197678168
Pb_4,0.01092918999096344
Pb_5,0.013848453391082151
Pb_6,0.028552579664551637
