,pheL
Cr_1,0.007632881641578977
Cr_2,0.014600446215916371
Cr_3,0.020410639886556132
Cr_4,0.026005013824622072
Cr_5,0.031426269194184425
Cr_6,0.032753105958247465
Fe_1,0.0016690222170642967
Fe_2,0.012752475327985348
Fe_3,0.034632442631240615
Fe_4,0.055579280558972335
Fe_5,0.06775701503901488
Fe_6,0.0742326652554789
Cd_1,0.0038748100692007634
Cd_2,0.006178064578962518
Cd_3,0.0037993239797462063
Cd_4,0.0015794014264578133
Cd_5,-0.003469763028382629
Cd_6,-0.001700149544705646
Zn_1,-0.0070820877530156845
Zn_2,-0.0044806389797529865
Zn_3,0.007925986082526629
Zn_4,0.01467409968129228
Zn_5,0.006718219660290957
Zn_6,-0.003874182351891799
Cu_1,0.008510387451451105
Cu_2,0.019958588705569904
Cu_3,0.03138737421385511
Cu_4,0.04326420127064741
Cu_5,0.0585880284418111
Cu_6,0.07444212034965914
Pb_1,0.010203600914999623
Pb_2,0.016459671364481347
Pb_3,0.02266588516135428
Pb_4,0.031053022135223318
Pb_5,0.04130033248681205
Pb_6,0.056856226006731674
