,yfdU
Cr_1,-0.0020785971937107737
Cr_2,-0.011269353813546318
Cr_3,-0.009612470288261976
Cr_4,-0.016310535617695666
Cr_5,-0.026727555353913947
Cr_6,-0.0299728981010031
Fe_1,-0.0033827078592255666
Fe_2,-0.008342767368476542
Fe_3,-0.026475334691115248
Fe_4,-0.03316758312301397
Fe_5,-0.04029210224386828
Fe_6,-0.056587294963293774
Cd_1,-0.0014686946256611412
Cd_2,-0.002103392779508611
Cd_3,0.0011343038053159675
Cd_4,0.006161555918606136
Cd_5,0.004855584244157037
Cd_6,-8.432671526123364e-06
Zn_1,-0.0015387660818882147
Zn_2,0.006353732153135803
Zn_3,0.016670915892841878
Zn_4,0.02141581611805448
Zn_5,0.033148126223043736
Zn_6,0.0462314872092015
Cu_1,0.004289863803672028
Cu_2,0.009228796531386932
Cu_3,0.015719551051388076
Cu_4,0.012180098393491035
Cu_5,0.013359313943614302
Cu_6,0.012397032004783304
Pb_1,0.011038345765585579
Pb_2,0.020769666747774137
Pb_3,0.034849301437207894
Pb_4,0.05109173669041666
Pb_5,0.06848346193082817
Pb_6,0.08935307192803366
