,ftsN
Cr_1,0.0005894117410429117
Cr_2,0.0008822158971428037
Cr_3,0.004628197881089605
Cr_4,0.004355611238119918
Cr_5,0.006587828508179165
Cr_6,0.008145410225146678
Fe_1,-0.007677674532553898
Fe_2,-0.011465944306320577
Fe_3,-0.007429083760531531
Fe_4,-0.0079305901677499
Fe_5,-0.004187635080217488
Fe_6,-0.0032747015485359195
Cd_1,0.005441464685836491
Cd_2,0.011816775612531166
Cd_3,0.018323714748265687
Cd_4,0.023831195821218367
Cd_5,0.02424174667685353
Cd_6,0.03026816382237785
Zn_1,-0.0028199592141535264
Zn_2,-0.000948138391702444
Zn_3,0.0024466887071060077
Zn_4,0.0036132469177216258
Zn_5,0.005828188560702094
Zn_6,0.006358650817609978
Cu_1,-0.0008673772179256488
Cu_2,-0.002139030486298602
Cu_3,-0.00043022903844549735
Cu_4,0.0011270408065788009
Cu_5,0.004668858326543928
Cu_6,0.011368208557312742
Pb_1,0.0043447617319059455
Pb_2,0.0099271684475746
Pb_3,0.02002049138044419
Pb_4,0.031840133965694704
Pb_5,0.0388726447275135
Pb_6,0.050093335592933816
