,uhpA
Cr_1,-0.007838114556853753
Cr_2,-0.0095137236237976
Cr_3,-0.01375150030472127
Cr_4,-0.0165244177506461
Cr_5,-0.021509351145738285
Cr_6,-0.023319429401301963
Fe_1,-0.01832898222964681
Fe_2,-0.02588265721361831
Fe_3,-0.027315211042773242
Fe_4,-0.026480834680350663
Fe_5,-0.02378668784659995
Fe_6,-0.017311966704804976
Cd_1,-0.0023740893017608115
Cd_2,-0.005403318296343905
Cd_3,-0.005252894679786934
Cd_4,-0.0018282993810145368
Cd_5,-0.0035954871939155478
Cd_6,-0.005222530677995078
Zn_1,-0.004196837842652244
Zn_2,-0.004118603378424095
Zn_3,0.007895578294644427
Zn_4,0.02348208539301923
Zn_5,0.03788152076669253
Zn_6,0.05351118208284178
Cu_1,0.003356948956915463
Cu_2,0.013856993756834936
Cu_3,0.02559642007493036
Cu_4,0.03621388663060875
Cu_5,0.04768632625280144
Cu_6,0.057875898288827526
Pb_1,-0.007931607348942667
Pb_2,-0.01134354291986
Pb_3,-0.013600083042429184
Pb_4,-0.01423042197037354
Pb_5,-0.014906806177434144
Pb_6,-0.016929561537282697
