,ygjG
Cr_1,0.006832777420203932
Cr_2,0.01696154902963661
Cr_3,0.02891307649785225
Cr_4,0.04186443160043488
Cr_5,0.05188689755022772
Cr_6,0.057807203893066865
Fe_1,-0.00562477713343338
Fe_2,-0.03033375530385391
Fe_3,-0.07792584481689521
Fe_4,-0.14207620870412158
Fe_5,-0.2029346458476
Fe_6,-0.25866685795004524
Cd_1,0.0262161518731936
Cd_2,0.0512866411076957
Cd_3,0.04782454736908063
Cd_4,0.051427122095572486
Cd_5,0.05079032193116614
Cd_6,0.055973226990872364
Zn_1,-0.0006015408143606384
Zn_2,-0.0027640854431668425
Zn_3,-0.0024526938275356504
Zn_4,-0.007269808025710203
Zn_5,-0.016372259543864388
Zn_6,-0.029377708713297413
Cu_1,0.011991177559031677
Cu_2,0.02459244849637844
Cu_3,0.03700521300066277
Cu_4,0.046046668389579805
Cu_5,0.05654382160045116
Cu_6,0.06884133364343606
Pb_1,0.007637422233531596
Pb_2,0.009288551461990294
Pb_3,0.01634372095155476
Pb_4,0.027114363757509526
Pb_5,0.04025439944568928
Pb_6,0.05671949783458687
