,yfbR
Cr_1,-0.00815230432309336
Cr_2,-0.004854981851537329
Cr_3,0.0022077987775077973
Cr_4,0.0024993988001146147
Cr_5,0.009264254043122372
Cr_6,0.01946599409777876
Fe_1,-0.00253495067745318
Fe_2,-0.028416576256160737
Fe_3,-0.07301384267340455
Fe_4,-0.1199813256152144
Fe_5,-0.15482754750750094
Fe_6,-0.19067739847343596
Cd_1,-0.003681319174345922
Cd_2,-0.009336745672877898
Cd_3,-0.010781584899066318
Cd_4,-0.010077599729716686
Cd_5,-0.01444369201202286
Cd_6,-0.012196237217206904
Zn_1,-0.001312134772885674
Zn_2,0.031142983735519606
Zn_3,0.0730752618233602
Zn_4,0.4561759566722855
Zn_5,-0.01334957393639893
Zn_6,0.06268748143725639
Cu_1,0.00115339300920675
Cu_2,0.0064743234836637355
Cu_3,0.011906152688886576
Cu_4,0.016220815532025784
Cu_5,0.025480554901437386
Cu_6,0.025440489307549326
Pb_1,0.014147634854635034
Pb_2,0.024901784550774016
Pb_3,0.0256356489222542
Pb_4,0.02804144673592329
Pb_5,0.03001124080309846
Pb_6,0.03754354008494354
