,cytR
Cr_1,-0.0006342360493381894
Cr_2,-0.001990538447809917
Cr_3,-0.0025795848009757642
Cr_4,0.004459976375831232
Cr_5,0.016108036553987817
Cr_6,0.014740249279790524
Fe_1,-0.009085366137446878
Fe_2,-0.018219467383734818
Fe_3,-0.025044846739511892
Fe_4,-0.03996664579332866
Fe_5,-0.05101207679115982
Fe_6,-0.07088735913287553
Cd_1,-0.0022966380129082523
Cd_2,-0.001613613193226593
Cd_3,0.0008830342514196703
Cd_4,0.01006972657408581
Cd_5,0.017779379024927062
Cd_6,0.030354040870092074
Zn_1,0.0028525437760378875
Zn_2,0.019225428050523675
Zn_3,0.045144705478089193
Zn_4,0.06941570260304755
Zn_5,0.08164311967089541
Zn_6,0.0917450182254628
Cu_1,-0.002694495889619889
Cu_2,-0.0058658696774119955
Cu_3,-0.00674890122218756
Cu_4,-0.008494588234608061
Cu_5,-0.009246877901409541
Cu_6,0.0007626193425084622
Pb_1,0.009198904039020248
Pb_2,0.02240130986276115
Pb_3,0.040934815020681865
Pb_4,0.05765672474574692
Pb_5,0.08354353342867513
Pb_6,0.1072387503287724
