,yfjI
Cr_1,0.0018391482980214965
Cr_2,0.006348852544933458
Cr_3,0.011831375716714427
Cr_4,0.017728810292519017
Cr_5,0.024557564542404296
Cr_6,0.031412471390918344
Fe_1,-0.010017808026781537
Fe_2,-0.030213025324381707
Fe_3,-0.0502441105787188
Fe_4,-0.06937048753859161
Fe_5,-0.0800435008829914
Fe_6,-0.08528792748172644
Cd_1,0.0016248675485295366
Cd_2,0.002776045378323381
Cd_3,0.003836543262751567
Cd_4,0.0017903517593151255
Cd_5,-0.003344241906589586
Cd_6,-0.003683680943470376
Zn_1,-0.010004544136369245
Zn_2,-0.0175809459992091
Zn_3,-0.014553190290954131
Zn_4,-0.010115540577259876
Zn_5,-0.007864457449543942
Zn_6,-0.003148416957050871
Cu_1,-0.0008695041713380379
Cu_2,0.005151846368190802
Cu_3,0.008035884377194406
Cu_4,0.004368724050870329
Cu_5,0.003994533433977212
Cu_6,0.008929606499254995
Pb_1,0.011893480882489892
Pb_2,0.03313256410868781
Pb_3,0.04331495452238887
Pb_4,0.044583545766001945
Pb_5,0.05717626784184369
Pb_6,0.06979853889731198
