,new_246583_246657
LBexp_1,12.7385
LBexp_2,12.7137
LBexp_3,12.6893
LBtran_1,12.3423
LBtran_2,12.3592
LBtran_3,11.6976
LBstat_1,11.4182
LBstat_2,11.7088
LBstat_3,10.1931
LBGexp_1,12.8347
LBGexp_2,12.4594
LBGexp_3,11.9304
LBGtran_2,11.0495
LBGtran_3,11.9535
LBGstat_1,9.9899
LBGstat_2,9.7785
LBGstat_3,10.2506
S0_1,12.9047
S0_2,13.0324
S0_3,13.2246
S1_1,12.716
S1_2,12.4114
S1_3,12.9811
S2_1,12.1702
S2_2,11.7018
S2_3,11.3797
S3_1,11.8134
S3_2,12.1291
S4_1,11.9568
S4_2,11.5384
S4_3,10.9955
S5_1,11.1755
S5_2,11.4005
S5_3,11.5783
S6_1,10.6136
S6_2,7.8365
S6_3,11.105
S6/t_1,10.3324
S6/t_2,7.8037
S6_4,9.673
S6_5,10.4687
S6_6,10.7767
S7_4,10.415
S7_5,10.1094
S7_6,10.232
S8_4,9.8796
S8_5,9.4862
G135_1,12.1284
G135_3,10.2395
G150_1,11.9553
G150_2,12.2901
G150_3,12.1666
G180_1,11.8632
G180_2,12.3229
G180_3,10.7851
C30_1,11.6165
C30_2,11.786200000000001
C90_1,11.9137
C90_2,12.2085
BI_1,12.6881
BI_2,12.71
BC_2,10.8168
BC/t_1,9.8578
BC/t_2,10.7326
BC_1,9.8508
Sw_1,10.6036
Sw_2,10.8817
BT_1,10.8703
BT_2,10.3289
B36_1,10.4413
B36_2,10.5318
B60_1,11.1655
B60_2,11.7572
M9exp_1,12.554
M9exp_2,12.3563
M9exp_3,11.9868
M9tran_1,12.0504
M9tran_2,12.0992
M9tran_3,12.3371
M9stat_1,10.2732
M9stat_2,9.9208
M9stat_3,9.603
M+G_1,11.8347
M+G_2,12.5452
M+G_3,12.1103
Glu_1,12.8475
Glu_2,12.2273
Glu_3,12.8012
Fru_1,11.3809
Fru_2,12.87
Fru_3,12.2957
Mal_1,11.3607
Mal_2,11.917300000000001
Mal_3,11.841
G+S_2,12.0469
G+S_3,12.6073
Pyr_1,11.8802
Pyr_2,12.4314
Pyr_3,12.2007
Gly_1,11.585
Gly_2,11.5376
Gly_3,10.4738
Glucon_1,11.9352
Glucon_2,12.3733
Glucon_3,9.9418
aero_1,13.411
aero_2,12.0734
aero_3,13.4645
nit_1,12.8254
nit_2,12.9721
nit_3,13.0071
ferm_1,12.6133
ferm_2,12.7799
ferm_3,13.3914
T-5.40H_1,13.3417
T-4.40H_1,13.1961
T-3.40H_1,12.6638
T-2.40H_1,12.6388
T-1.40H_1,12.5339
T-1.10H_1,11.9291
T-0.40H_1,12.8762
T0.0H_1,12.5458
T0.30H_1,11.6687
T1.0H_1,11.315
T1.30H_1,10.6842
T2.0H_1,10.9368
T2.30H_1,11.5687
T3.0H_1,11.48
T3.30H_1,11.9004
T4.0H_1,11.5496
T5.0H_1,10.758
HPh_1,12.4551
HPh_2,12.2258
HPh_3,12.5882
LPh_1,12.2683
LPh_2,12.933
LPh_3,12.585
LPhT_1,11.2076
LPhT_2,11.2645
LPhT_3,11.4901
SMMPr_1,11.9089
SMMPr_2,11.8811
SMMPr_3,12.1942
HiTm_1,9.0083
HiTm_2,10.6921
HiTm_3,11.3343
