,yebO
Cr_1,-0.0009219712042176178
Cr_2,-0.005199640702753967
Cr_3,-0.009730449869874862
Cr_4,-0.01292019972051152
Cr_5,-0.015371626625946025
Cr_6,-0.01801198823715113
Fe_1,0.0019494456254680167
Fe_2,0.020568593628185698
Fe_3,0.0544649274678235
Fe_4,0.08851891555619139
Fe_5,0.1262899288101022
Fe_6,0.1550639128343102
Cd_1,0.0013043086410099189
Cd_2,0.0056293800391910296
Cd_3,0.011087863670007195
Cd_4,0.016557156656847344
Cd_5,0.017361809036878638
Cd_6,0.020937824512857483
Zn_1,0.006177483167163695
Zn_2,0.01808853957528397
Zn_3,0.03192207427463247
Zn_4,0.053568000583488457
Zn_5,0.06296218567824798
Zn_6,0.06647733962058353
Cu_1,-0.0021001012837473976
Cu_2,0.0005248416887823097
Cu_3,0.004892124545880957
Cu_4,0.0058869023441808326
Cu_5,0.010953926579006859
Cu_6,0.016130444137999862
Pb_1,-0.0026084917573606925
Pb_2,0.0036995991835581314
Pb_3,0.008623864047173267
Pb_4,0.007823621196692191
Pb_5,0.010873480701034662
Pb_6,0.012050671499052937
