,molR_2
Cr_1,-0.005582099323844427
Cr_2,-0.002750298086462868
Cr_3,-0.003187853271656409
Cr_4,0.004141719979346252
Cr_5,0.0031291580739715072
Cr_6,0.0063886133978860145
Fe_1,-0.016439291622721657
Fe_2,-0.03681842913844362
Fe_3,-0.05050985782090922
Fe_4,-0.05840501370973492
Fe_5,-0.05868517179291755
Fe_6,-0.05578862991245339
Cd_1,0.001587688836852855
Cd_2,0.0007856573484041066
Cd_3,0.0030159360593369714
Cd_4,0.0038819461287843454
Cd_5,0.00023008866681955054
Cd_6,-0.0034116290324930666
Zn_1,-0.004793805499883614
Zn_2,-0.008486762822771752
Zn_3,-0.002665134598879684
Zn_4,0.016832929846428868
Zn_5,0.034832790072891334
Zn_6,0.051159600974451824
Cu_1,0.0036507329260547
Cu_2,0.002123921323065439
Cu_3,0.005891869339530561
Cu_4,0.008729833954284215
Cu_5,0.01243501252106993
Cu_6,0.011603194945116687
Pb_1,0.002734440444637709
Pb_2,0.003061606769523235
Pb_3,0.0029315896970276718
Pb_4,-0.0007678209734321643
Pb_5,-0.0014429496532789572
Pb_6,0.0006200399988938343
