,shiA
Cr_1,0.0013045973642589752
Cr_2,0.00506472338865624
Cr_3,0.012646350737311176
Cr_4,0.019000728127609043
Cr_5,0.029571227994489756
Cr_6,0.040000393518524135
Fe_1,-0.0034133823266637125
Fe_2,-0.006576034720364405
Fe_3,-0.015920908896773295
Fe_4,-0.03756475881947882
Fe_5,-0.06273416361181923
Fe_6,-0.09024231600863432
Cd_1,0.004448023422187464
Cd_2,0.010456579437954477
Cd_3,0.016801210509053036
Cd_4,0.02414993075586044
Cd_5,0.030059947394672982
Cd_6,0.041058767131360564
Zn_1,0.0017031067985913207
Zn_2,0.009331491162597318
Zn_3,0.02476895372818268
Zn_4,0.04676172929057743
Zn_5,0.07260941117995498
Zn_6,0.0938383197233663
Cu_1,0.008243402742554879
Cu_2,0.01468578904297785
Cu_3,0.026438627650821358
Cu_4,0.038338427626515084
Cu_5,0.05037551342500062
Cu_6,0.05953940574165749
Pb_1,0.006820137778864861
Pb_2,0.010629630085992004
Pb_3,0.009667404963571071
Pb_4,0.016615008017933485
Pb_5,0.022353890913940744
Pb_6,0.032794812383760474
