,evgA
Cr_1,-0.004909371813720819
Cr_2,-0.005115177921907432
Cr_3,-0.0068884881192584685
Cr_4,-0.009285788346415878
Cr_5,0.002736353411563977
Cr_6,0.02109946654457133
Fe_1,-0.005010320941036801
Fe_2,-0.028283161003657395
Fe_3,-0.03851632715069145
Fe_4,-0.036092250167726776
Fe_5,-0.015451177175044522
Fe_6,0.007998231431649351
Cd_1,0.001052353127938196
Cd_2,0.003409650129940482
Cd_3,0.007600426498175889
Cd_4,0.008650456816854871
Cd_5,0.006299622326912196
Cd_6,0.008621434987907958
Zn_1,-0.014981090775644771
Zn_2,-0.016720635598829314
Zn_3,-0.016177805469467715
Zn_4,-0.018807990563824897
Zn_5,-0.031747424815816314
Zn_6,-0.04163288777798604
Cu_1,-0.0010514048357026717
Cu_2,-0.0006364997629293481
Cu_3,-0.0008966356772389068
Cu_4,-0.003404508325203493
Cu_5,-0.0018968871077847773
Cu_6,0.0010606345718905254
Pb_1,0.0014501960054560227
Pb_2,0.002729393940505622
Pb_3,0.010789746438218091
Pb_4,0.019614099878538984
Pb_5,0.024535903369569404
Pb_6,0.033429548412874745
