,A,LsrR,Crp
R2,,0.6490101411203274,0.006249009287214724
xmin,,-3.7304932995,-9.852476477
xmid,,0.6589662084172795,0.2481620004510487
xmax,,5.469269453522382,1.6003325529999994
ystart,,0.2955592439420709,1.8490952698653778
yend,,18.386999746212,0.1292919100069856
control__wt_glc__1,0.149279508726898,0.14417173449999998,0.012478645999999928
control__wt_glc__2,-0.1492795087269163,-0.14417173449999998,-0.012478645999999928
fur__wt_dpd__1,1.94567654189902,0.5989620594999998,0.07757413100000042
fur__wt_dpd__2,1.4987553918136942,0.6021668144999994,-0.0906821709999992
fur__wt_fe__1,-0.1370710123422058,0.2645931125000001,-0.030513672999999738
fur__wt_fe__2,0.6901493944165077,0.07193219750000024,0.0581907200000007
fur__delfur_dpd__1,1.4334726443002934,-0.03746203349999977,-0.10598198399999957
fur__delfur_dpd__2,1.2119979218154338,0.29967554250000017,-0.22346684100000047
fur__delfur_fe2__1,0.6394717154785814,0.4461445314999999,0.4364299129999996
fur__delfur_fe2__2,0.8870359131339504,0.3025216264999999,0.36756339300000107
acid__wt_ph5__1,0.6216260648004195,0.22050175549999995,0.3455225730000002
acid__wt_ph5__2,0.4599258411080405,0.6951245015000005,0.34313646300000045
acid__delgadx_ph5__2,0.513257402363334,0.4677980284999999,0.3393877130000007
acid__delgadw_ph5__1,0.7898476807946709,0.4669250665,0.3838637929999997
acid__delgadw_ph5__2,0.3768626188772632,0.3166112854999996,0.3398617829999999
acid__delgade_ph5__1,0.7961799223778366,0.4201627415000005,0.432408723
acid__delgade_ph5__2,0.6343604720614282,0.33052337350000016,0.4824361929999999
oxidative__wt_pq__1,1.731395849454327,1.2092751515,0.17662370300000066
oxidative__wt_pq__2,1.269881220544328,1.0328742574999996,0.24038529300000103
oxidative__deloxyr_pq__1,0.3699941232380429,1.3116562975,0.5131550130000004
oxidative__deloxyr_pq__2,0.4315663462918653,1.1161026355,0.5363373029999998
oxidative__delsoxr_pq__1,1.1710940503378064,0.8278422715000007,0.3346725330000009
oxidative__delsoxr_pq__2,2.187772692394981,0.5495007605,0.3870598730000001
oxidative__delsoxs_pq__1,2.2017603524698868,1.0216092024999996,0.5134629630000003
oxidative__delsoxs_pq__2,1.644528911756222,1.0102846904999998,0.5104807529999995
nac_ntrc__wt_csn__1,1.635126762139013,0.8632106465000007,-0.0727968299999997
nac_ntrc__wt_csn__2,0.9256728767150112,0.7158529715000004,-0.09324395099999984
