,yiaD
Cr_1,0.0018826954061669336
Cr_2,0.0002683433606100264
Cr_3,0.0020926153857185837
Cr_4,0.008953945769887266
Cr_5,0.019033178500589186
Cr_6,0.025397137677503602
Fe_1,-0.009704119534922196
Fe_2,-0.02172345292143184
Fe_3,-0.03089433054817853
Fe_4,-0.041737777541624235
Fe_5,-0.04372121580778912
Fe_6,-0.046761757423701394
Cd_1,0.0032590541885895953
Cd_2,0.007445230685030494
Cd_3,0.012743087124956688
Cd_4,0.01422878834600449
Cd_5,0.008571792683039741
Cd_6,0.010088796490653246
Zn_1,-0.001066276652759208
Zn_2,-0.005581633653850177
Zn_3,-0.0019955727706235057
Zn_4,0.0001835645892656642
Zn_5,0.0008341115323646012
Zn_6,-0.0016300899047072314
Cu_1,0.008945214874662736
Cu_2,0.01318528360187568
Cu_3,0.009973200220132736
Cu_4,0.006384825579523367
Cu_5,0.003366265300834387
Cu_6,0.006886220337650478
Pb_1,0.004578399638124135
Pb_2,0.0034578545073669967
Pb_3,0.0024975762450475656
Pb_4,0.010183014902566779
Pb_5,0.01096136704612559
Pb_6,0.0163316380915457
