,A,YjfJ
R2,,0.547594956367971
xmin,,-1.5218537319999998
xmid,,
xmax,,4.379615568
ystart,,-0.699085396941129
yend,,10.898016628895547
control__wt_glc__1,0.0931010472604164,0.24014496500000004
control__wt_glc__2,-0.093101047260411,-0.24014496499999985
fur__wt_dpd__1,-0.6577271825695589,-0.3573089249999999
fur__wt_dpd__2,-0.7344172007648312,-0.5870044359999999
fur__wt_fe__1,0.2044590924269714,0.3127028540000001
fur__wt_fe__2,0.4116476149688954,-0.5414165739999999
fur__delfur_dpd__1,-0.9591347788290168,-0.4549645689999999
fur__delfur_dpd__2,-0.7893746073071615,-0.21928198599999996
fur__delfur_fe2__1,-1.1261093241792604,-0.4069440289999999
fur__delfur_fe2__2,-1.119633603072825,0.3273681400000001
acid__wt_ph5__1,0.597606231013398,-0.27634070199999994
acid__wt_ph5__2,0.9979984493175176,-0.5615723429999998
acid__delgadx_ph5__2,0.9357304666316936,-0.6131255049999998
acid__delgadw_ph5__1,0.2887057457338504,-0.4594026579999997
acid__delgadw_ph5__2,0.1597420226039516,-0.1848999939999998
acid__delgade_ph5__1,0.6737727040452243,-0.3771084959999997
acid__delgade_ph5__2,0.8394567008021457,-0.11730807199999993
oxidative__wt_pq__1,0.1759351911418542,-0.9008746279999998
oxidative__wt_pq__2,-0.53153674808274,0.04550767600000016
oxidative__deloxyr_pq__1,-1.0664501480979354,-0.5719787849999999
oxidative__deloxyr_pq__2,-1.6853596098427135,-0.30873549199999983
oxidative__delsoxr_pq__1,0.0149391940575503,-0.9551670699999998
oxidative__delsoxr_pq__2,-0.0717462620397255,-0.8227129719999998
oxidative__delsoxs_pq__1,-0.2800740987021517,-0.8783432909999999
oxidative__delsoxs_pq__2,0.6063652012020538,0.3346814790000001
nac_ntrc__wt_csn__1,0.605445624876409,0.31055884700000025
nac_ntrc__wt_csn__2,0.7188496006869148,0.2766024970000001
nac_ntrc__wt_cytd__1,0.6851428821146816,0.3900152320000001
nac_ntrc__wt_cytd__2,1.8114158051479696,0.16022585600000006
nac_ntrc__wt_gln__1,2.3181472274286183,0.78171539
nac_ntrc__wt_gln__2,1.9571235993483664,0.2326504110000001
nac_ntrc__bw_delnac_csn__1,1.951308497951118,0.8083808640000001
nac_ntrc__bw_delnac_csn__2,0.5013666851058789,-0.036855501999999866
nac_ntrc__bw_delnac_cytd__1,1.9159016838577545,-0.8465288719999998
nac_ntrc__bw_delnac_cytd__2,1.882770277031061,-0.19599221499999972
nac_ntrc__bw_delnac_gln__1,2.166978591411039,-0.185550906
nac_ntrc__bw_delnac_gln__2,2.3136958099040656,-0.36481445899999976
nac_ntrc__bw_delnac_nh4__1,1.1085601744263778,-0.020372338999999684
nac_ntrc__bw_delnac_nh4__2,1.669376958601937,0.06675290499999997
misc__wt_no_te__1,0.3995037592059866,0.40301911700000015
misc__wt_no_te__2,0.3484052398691909,-0.32571728499999986
misc__bw_delcbl__1,0.5449141319925095,0.007053667000000319
misc__bw_delcbl__2,0.8502876459451394,0.12850809900000004
misc__bw_delfabr__1,0.8151172666108115,-0.07485318000000007
misc__bw_delfabr__2,0.5592521621842167,-0.4596959909999998
