,ybdK
Cr_1,0.013538631142285384
Cr_2,0.01881084548891078
Cr_3,0.008781618228839569
Cr_4,0.0019744798143906932
Cr_5,-0.0008816232212801887
Cr_6,-0.002818497424401428
Fe_1,-0.023167087560447767
Fe_2,-0.04034831564023851
Fe_3,-0.05013955378421067
Fe_4,-0.061656452735892514
Fe_5,-0.06611855410614498
Fe_6,-0.04285920451190759
Cd_1,-0.007879636880802355
Cd_2,-0.00797305949166268
Cd_3,-0.009230281715544285
Cd_4,-0.006203412513191704
Cd_5,-0.008793535795096091
Cd_6,-0.009731296515908415
Zn_1,0.0072572614566863815
Zn_2,0.01851515648337802
Zn_3,0.027293828414266814
Zn_4,0.04508426009065819
Zn_5,0.056920974297687166
Zn_6,0.06463158405341239
Cu_1,0.008896005157624108
Cu_2,0.004781619111701635
Cu_3,0.004968082143294734
Cu_4,0.007424290143204801
Cu_5,0.01208605075350564
Cu_6,0.012152904783030254
Pb_1,0.012591695581600887
Pb_2,0.01836085459014891
Pb_3,0.03153754593465382
Pb_4,0.04112357164837248
Pb_5,0.0486071488452425
Pb_6,0.056081978456088866
