,stpA
Cr_1,-0.001426942110995527
Cr_2,0.0007799292492933405
Cr_3,0.0038873407713868203
Cr_4,0.00220478258541662
Cr_5,0.000694876277932276
Cr_6,-0.0022370406346995868
Fe_1,-0.005065516088356418
Fe_2,-0.01570292297418209
Fe_3,-0.02412601457233581
Fe_4,-0.035123101901257066
Fe_5,-0.03492232342593296
Fe_6,-0.026494625977544952
Cd_1,-0.0010346374986339372
Cd_2,-0.0009893780465034824
Cd_3,0.004033807517365785
Cd_4,0.010140197215083996
Cd_5,0.009377660430440036
Cd_6,0.014073403966210159
Zn_1,-0.0010581208880335953
Zn_2,0.0017360720560152766
Zn_3,0.010356779787022402
Zn_4,0.03256824603315035
Zn_5,0.05941900094077247
Zn_6,0.08710985069878563
Cu_1,0.00757181363256753
Cu_2,0.01664450072682194
Cu_3,0.019314977621825446
Cu_4,0.017127764564615813
Cu_5,0.018877275224915446
Cu_6,0.02432074841288678
Pb_1,0.0050296466387868225
Pb_2,0.010953447150017344
Pb_3,0.02035615856120735
Pb_4,0.032537813843613435
Pb_5,0.04716476784076088
Pb_6,0.061603947710530224
