,regulator,gene_name,gene_id,effect,evidence,source
0,AccB,accB,b3255,-,0.0,RegulonDB_TF
2,RpoD,pheP,b0576,+,0.0,RegulonDB_sigma
4,RpoD,pheA,b2599,+,0.0,RegulonDB_sigma
5,RpoD,pgpB,b1278,+,0.0,RegulonDB_sigma
6,RpoD,pgpA,b0418,+,0.0,RegulonDB_sigma
7,RpoD,pgk,b2926,+,0.0,RegulonDB_sigma
8,RpoD,pgi,b4025,+,0.0,RegulonDB_sigma
9,RpoD,pflB,b0903,+,0.0,RegulonDB_sigma
10,RpoD,pflA,b0902,+,0.0,RegulonDB_sigma
11,RpoD,pfkA,b3916,+,0.0,RegulonDB_sigma
12,RpoD,pepP,b2908,+,0.0,RegulonDB_sigma
13,RpoD,pepD,b0237,+,0.0,RegulonDB_sigma
14,RpoD,pepA,b4260,+,0.0,RegulonDB_sigma
15,RpoD,pdxJ,b2564,+,0.0,RegulonDB_sigma
16,RpoD,pdhR,b0113,+,0.0,RegulonDB_sigma
17,RpoD,pdeL,b0315,+,0.0,RegulonDB_sigma
18,RpoD,pcnB,b0143,+,0.0,RegulonDB_sigma
19,RpoD,pcm,b2743,+,0.0,RegulonDB_sigma
20,RpoD,pck,b3403,+,0.0,RegulonDB_sigma
21,RpoD,patZ,b2584,+,0.0,RegulonDB_sigma
22,RpoD,panF,b3258,+,0.0,RegulonDB_sigma
23,RpoD,panD,b0131,+,0.0,RegulonDB_sigma
24,RpoD,panC,b0133,+,0.0,RegulonDB_sigma
25,RpoD,panB,b0134,+,0.0,RegulonDB_sigma
27,RpoD,pabA,b3360,+,0.0,RegulonDB_sigma
28,RpoD,phnC,b4106,+,0.0,RegulonDB_sigma
29,RpoD,phnE,b4583,+,0.0,RegulonDB_sigma
30,RpoD,polB,b0060,+,0.0,RegulonDB_sigma
31,RpoD,pntB,b1602,+,0.0,RegulonDB_sigma
32,RpoD,pntA,b1603,+,0.0,RegulonDB_sigma
33,RpoD,pnp,b3164,+,0.0,RegulonDB_sigma
