,yciI
Cr_1,0.008529631891803825
Cr_2,0.01388255341799765
Cr_3,0.020714191769364128
Cr_4,0.02430712262834352
Cr_5,0.025915369136764045
Cr_6,0.02284607094220606
Fe_1,-0.008044783897538904
Fe_2,-0.020713096604059924
Fe_3,-0.02612200922273191
Fe_4,-0.0289045209987372
Fe_5,-0.027777408048369496
Fe_6,-0.02441732074424116
Cd_1,-0.000933553070580853
Cd_2,-3.8546113624001036e-05
Cd_3,0.0033478700555980003
Cd_4,0.0067275479473792536
Cd_5,0.005771210969810678
Cd_6,0.010575912783857118
Zn_1,-0.001643511879031264
Zn_2,0.0028135207487798683
Zn_3,0.01997283766176016
Zn_4,0.046468825731412436
Zn_5,0.06866118687008721
Zn_6,0.0912124303900698
Cu_1,0.00659958991438659
Cu_2,0.011180182209242823
Cu_3,0.019879552779841398
Cu_4,0.02878890671112502
Cu_5,0.03663410693400407
Cu_6,0.045071230028017314
Pb_1,0.006134960796117411
Pb_2,0.010467988893831992
Pb_3,0.015572380143755294
Pb_4,0.018290538629241012
Pb_5,0.022357500768643904
Pb_6,0.02594403909098967
