,ecfD
Cr_1,-0.002081032465951175
Cr_2,-0.004065700013430525
Cr_3,-0.003180435558325827
Cr_4,-0.0037557030082008094
Cr_5,-0.004642464261740782
Cr_6,-0.0075555869176845815
Fe_1,-0.0025810224501248854
Fe_2,-0.007586308391469412
Fe_3,-0.007928257112512839
Fe_4,-0.010061098133584523
Fe_5,-0.009641746414243972
Fe_6,-0.0049862011385937224
Cd_1,0.00143558792403361
Cd_2,0.003555269194921742
Cd_3,0.0038970754507452756
Cd_4,0.0059286671821045705
Cd_5,0.0032287889470238714
Cd_6,0.008303351336836396
Zn_1,0.002502029610501217
Zn_2,0.012653485350426586
Zn_3,0.03134642191359096
Zn_4,0.0552503011923459
Zn_5,0.08180241458754024
Zn_6,0.10607068403471533
Cu_1,0.0014222763344049253
Cu_2,0.0025583527317070173
Cu_3,0.002632955463213477
Cu_4,0.00792513410040888
Cu_5,0.016805528796668266
Cu_6,0.024612520695411668
Pb_1,0.004700174125739769
Pb_2,0.011683512758265395
Pb_3,0.02020303894661189
Pb_4,0.028265656565458708
Pb_5,0.04233173938466876
Pb_6,0.05927545531311006
