,solA
Cr_1,-0.004425417540511683
Cr_2,-0.00389153753003208
Cr_3,-0.00838335853751308
Cr_4,-0.008591560872008084
Cr_5,-0.005531365400905952
Cr_6,-0.0003003740660281128
Fe_1,-0.014314888455268732
Fe_2,-0.040242060091687536
Fe_3,-0.06610690010923208
Fe_4,-0.08959739123237513
Fe_5,-0.10811156059551852
Fe_6,-0.11866570098910792
Cd_1,-0.0007642148305781551
Cd_2,0.0005136006353537282
Cd_3,0.0015890476041728828
Cd_4,0.007081099137050016
Cd_5,0.008678854555963778
Cd_6,0.01334236108554366
Zn_1,-0.030078516829416688
Zn_2,-0.061142773899059887
Zn_3,-0.08974583363712622
Zn_4,-0.12779728582584662
Zn_5,-0.1488627743605087
Zn_6,-0.17348194991830596
Cu_1,0.003022017829081703
Cu_2,0.011597922728304122
Cu_3,0.022906432430125283
Cu_4,0.03168297212237109
Cu_5,0.04211210325872503
Cu_6,0.048229337354896346
Pb_1,-0.0049127207484962465
Pb_2,-0.007999420857857693
Pb_3,-0.00292494594890109
Pb_4,0.002850512561985841
Pb_5,0.00540232202660591
Pb_6,0.0043364323542975395
