,yagU
Cr_1,0.002611851200405319
Cr_2,0.0004153846065073807
Cr_3,-0.006687077668689532
Cr_4,-0.012812797645671113
Cr_5,-0.016754429676810418
Cr_6,-0.028110055001632318
Fe_1,-0.01991043000969544
Fe_2,-0.0532756993017663
Fe_3,-0.07819989351247053
Fe_4,-0.09416255647213508
Fe_5,-0.11156420639737356
Fe_6,-0.12431494867507716
Cd_1,0.001165002051651694
Cd_2,0.00498380453575931
Cd_3,0.006040555975183837
Cd_4,0.005968032234540071
Cd_5,0.0057135973892549746
Cd_6,0.006057729317485302
Zn_1,-0.019770792694004
Zn_2,-0.02928271576563257
Zn_3,-0.02544090453548889
Zn_4,-0.023795294412143182
Zn_5,-0.006416226859667034
Zn_6,0.012270106660598305
Cu_1,0.005915624536468496
Cu_2,0.01023134749947583
Cu_3,0.01556794125952376
Cu_4,0.0201140077955874
Cu_5,0.029297758678669593
Cu_6,0.039943765382442965
Pb_1,0.003214848139896578
Pb_2,0.007256451982844182
Pb_3,0.013045742496927484
Pb_4,0.017040099767668043
Pb_5,0.018204963109082387
Pb_6,0.022723352643037344
