,A,TyrR,GntR
R2,,0.0,0.0
xmin,,6.4443454105,6.4649283045
xmid,,,
xmax,,8.2771203244,8.4459061135
ystart,,1.8394676209428056,1.8394676209428056
yend,,1.8394676209428056,1.8394676209428056
control__wt_glc__1,-0.1939802098,7.1904349098,7.5244622826
control__wt_glc__2,0.1939802098,7.3160232245,7.5759499365
fur__wt_dpd__1,1.707818971,7.300353939,7.218323265
fur__wt_dpd__2,1.993908723,7.2473129348,6.946804335
fur__wt_fe__1,-1.0641144837,6.8740000904,6.9576467666
fur__wt_fe__2,-1.3511835738,6.9394743777,7.1582164673
fur__delfur_dpd__1,0.7107739974,7.5609536759000004,7.1917706059
fur__delfur_dpd__2,0.7298125197,7.3809134553,6.6543515583
fur__delfur_fe2__1,-0.5211902463,7.021852525,7.1514318556
fur__delfur_fe2__2,-0.7298496277000001,7.1483384521,7.1004721065
acid__wt_ph5__1,-0.204264137,7.585976222,6.9243638467
acid__wt_ph5__2,-0.5456419647,7.5426842675,6.9004341234
acid__delgadx_ph5__1,-1.1483439511,7.5384230438,6.9995002341
acid__delgadx_ph5__2,-1.0419654906,7.3506389222,6.7991047042
acid__delgadw_ph5__1,-0.5657456094000001,7.3598047706,6.8474994379
acid__delgadw_ph5__2,-0.9000346402,7.4871682873,6.976890932
acid__delgade_ph5__1,-0.6522949503000001,7.5294689887,7.0533163143
acid__delgade_ph5__2,-0.8187407519000001,7.6592512065000005,6.9910446458
oxidative__wt_pq__1,1.0525731042,7.7775853932,6.8558367066
oxidative__wt_pq__2,1.7862325508999999,7.9695052855,6.9668976117
oxidative__deloxyr_pq__1,0.3968499412,7.7283924864,7.0997558146
oxidative__deloxyr_pq__2,0.7929714478000001,7.7130461891,6.9543261823
oxidative__delsoxr_pq__1,1.5258854141,7.7962082622,6.7228936011
oxidative__delsoxr_pq__2,1.5110639735,7.8176804876,6.8656798305
oxidative__delsoxs_pq__1,1.7492668503000002,8.0154787357,7.2527262962
oxidative__delsoxs_pq__2,2.0545006201,8.1028249913,7.0527494039
nac_ntrc__wt_csn__1,1.4242853214,7.5326348005,7.3324126575
nac_ntrc__wt_csn__2,1.0475668154,7.6679761542,7.3463727193
nac_ntrc__wt_cytd__1,-0.1708154104,7.4413364658,7.4458663466
nac_ntrc__wt_cytd__2,0.4206205147,7.4542476825,7.3978083504
nac_ntrc__wt_gln__1,0.4145893626,7.6303435593,7.6868075489
nac_ntrc__wt_gln__2,0.42718685840000004,7.7330062537,7.659071792
nac_ntrc__bw_delnac_csn__1,2.5378438356,7.7772466961,6.8691165493
