,A,Lrp
R2,,0.6713565111284663
xmin,,-10.1521245118
xmid,,-9.559378535167715
xmax,,2.3501929199
ystart,,-17.607663195241724
yend,,4.007528370178975
SRX1125282,-0.2525427778,0.1917489778
SRX1125283,-0.3543093858,-0.0036410337
SRX1125284,-0.5812871759,0.0638516938
SRX1125285,-0.4435457042,0.1884466547
SRX1125286,0.3652229588,0.2606995247
SRX1125287,-0.5726904202,-0.18787669680000002
SRX1125288,-0.2540515063,-0.0850462209
SRX1125289,0.5884950217,0.23201001070000002
SRX1125290,0.038906885700000005,0.4624908091
SRX1125291,0.539039044,0.5094912821
SRX1125292,0.5125650162000001,0.42741818940000004
SRX1125293,-0.5353950165,-0.011315053200000001
SRX1125294,0.5065942842,-0.1067027569
SRX1125295,-0.1974096,-0.034949130700000004
SRX1125296,-0.2751542725,-0.0507207701
SRX1125297,-0.0434076755,0.0607301561
SRX1125298,0.44190113740000003,0.6821826714
SRX1125299,-0.1021817943,0.1046706146
SRX5694250,-0.4600928869,-0.07686038270000001
SRX5694251,2.0035858878,-0.4184515133
SRX5694252,-0.5590071396,-0.0463286922
SRX5694253,-0.1748816849,0.291528555
SRX5694254,1.4519572483,0.5837445491000001
SRX5694255,2.3982773112,-0.5783668051
SRX5694256,-1.3165804186,-0.3544948952
SRX5694257,-0.4484891205,-0.0169901278
SRX5694258,-0.293647151,-0.19775123900000002
SRX5694259,2.0988203396,-1.3513809867
SRX5694260,-0.6608954760000001,-0.0936446555
SRX5694261,-0.47095951890000004,-0.29484850100000004
SRX5694262,-0.3347950579,0.0541041576
SRX5694263,-1.2825611237,-0.0762063272
SRX5694264,-0.6807282213,-0.5672398331
SRX5694265,-0.4883088216,0.053708981100000004
SRX5694267,-0.3058798763,0.1920871912
SRX5694268,-1.0983140544,0.0033290340000000002
SRX5694269,-0.21211484320000001,-0.2368879814
SRX5694271,0.25111764470000003,-0.2100487493
SRX5694273,-0.0112767443,-1.9313953898
SRX5694274,-1.2127399368,-0.2188764248
SRX5694275,-2.3841519772,-1.5745697947
SRX5694276,1.1691504278,-0.7282929664000001
SRX5694277,-0.7329497881,0.2102835278
SRX5694278,0.3899580562,-0.34232132660000003
SRX5694279,0.0750513894,-0.0360912475
SRX5694280,-1.7915823374,-0.46139139360000003
SRX5694281,-1.6223529490000002,-0.0707081911
SRX5694282,0.49266341090000004,-0.9188570988
SRX5694283,-1.8087521576,-0.022524302700000002
SRX5694284,-0.4845771956,-0.20139311000000001
SRX5694285,-0.9593917266,-0.7064351524
SRX5694286,-1.8782627544000001,-1.1960682364
SRX5694287,0.1491380736,0.7780823415
SRX5694288,-0.3772580807,-0.4910773156
SRX5694289,-0.1014321101,-0.1605013107
SRX5694290,-0.8179356464,-0.4457081766
SRX5694291,1.6130733670000001,-0.5657690496000001
SRX5694292,-1.313179133,-0.0129645851
SRX5694293,-0.26600522200000004,-0.2699756884
SRX5694294,-0.0164801922,0.139214748
SRX5694295,-0.4737807464,-1.0064182484
SRX5694296,0.37998378790000004,-0.0378195053
SRX5694297,0.5994124464,-0.7699850183
SRX5694298,-1.4314739009,-0.5983222528000001
SRX5694299,0.2158917978,-0.0788764182
SRX5694300,-0.44206875370000004,0.1571077622
SRX5694301,-1.1420189765,0.0026593751
SRX5694302,-0.6528955923,-0.1895165987
SRX5694303,-1.7841399217,-0.0914431154
SRX5694304,-0.5274136971,0.0211183045
SRX5694305,2.330057304,-0.1386738842
SRX5694306,-0.3303993465,0.38087032870000004
SRX5694307,0.8331559897,-1.0385986195
SRX5694308,-0.6616675878,-0.34293042830000003
SRX5694309,0.6225001356000001,-1.3940862034000001
SRX5694310,-2.3497991513,-0.1138610196
SRX5694311,2.1672951563,-1.2410966374
