,rrfH
Cr_1,0.001067713652309269
Cr_2,0.007372818119995064
Cr_3,0.009303475570265212
Cr_4,0.0125233147829185
Cr_5,0.017479893530789176
Cr_6,0.00993598991259253
Fe_1,-0.006882406761352263
Fe_2,-0.01845605803743584
Fe_3,-0.036095731361818185
Fe_4,-0.050009866877862255
Fe_5,-0.04966142193818812
Fe_6,-0.04863495578305592
Cd_1,-0.0014087665136968484
Cd_2,-0.0005483159167196033
Cd_3,0.002936703944033721
Cd_4,0.00551974751532126
Cd_5,-0.00044880784307685146
Cd_6,-0.0025037011341024888
Zn_1,0.0012573518622147905
Zn_2,0.0067533501579448135
Zn_3,0.021199392596726225
Zn_4,0.03625569796315094
Zn_5,0.05714983415793555
Zn_6,0.07082350337875691
Cu_1,-0.000415064174263931
Cu_2,0.005522033389902445
Cu_3,0.012645383607917709
Cu_4,0.01434459282227824
Cu_5,0.015614989323740643
Cu_6,0.021769266361659767
Pb_1,0.02507610693991535
Pb_2,0.04890904264808326
Pb_3,0.036349249012913684
Pb_4,0.00383640620283634
Pb_5,-0.025477052402288338
Pb_6,-0.035511694141151205
