,PA1555.1
SRX7442752,-0.38099603800000004
SRX7442753,0.38099603800000004
SRX7442754,-0.719490245
SRX7442755,-0.860671014
SRX7442756,-1.299478881
SRX7442757,-1.427015307
SRX7442758,-1.447267861
SRX7442759,-2.031601919
SRX7442761,-1.4698235
SRX7874204,-0.01830222
SRX7874205,0.01830222
SRX7874206,-1.016398053
SRX7874207,-0.97788103
SRX8639787,-0.024129712
SRX8639788,0.024129711
SRX8639789,-0.36861564500000005
SRX8639790,-0.6452105840000001
SRX8639791,-0.5698393390000001
SRX8639792,-0.7003829810000001
SRX8639793,-1.170831674
SRX8639794,-1.093159331
SRX8639795,-1.281736709
SRX8639796,-1.205505448
SRX8639797,-0.91143596
SRX8639798,-0.747111379
SRX8639800,-1.139987922
SRX1156127,-0.046788961000000004
SRX1156135,0.046788961000000004
SRX1156136,0.21713252100000002
SRX1156137,0.9288611640000001
SRX1156138,-0.8845056160000001
SRX1156140,0.5602780820000001
ERX2195929,-0.181344775
ERX2195930,0.181344775
ERX2195931,0.33001372500000004
ERX2195932,0.29272595500000004
ERX2195933,0.30635147500000004
ERX2195934,-0.440031245
SRX4579961,-0.135631587
SRX4579962,-0.013691496000000001
SRX4579963,0.14932308300000002
SRX4579964,-1.279889893
SRX4579965,-1.230595687
SRX4579966,-0.764065667
SRX5630349,-0.053422144000000005
SRX5630350,0.053422143000000005
SRX5630351,0.00773745
SRX5630352,0.065492989
SRX1411278,-0.29714639
SRX1411287,-0.016509628000000002
SRX1411289,-0.58560875
SRX1411279,0.98237684
SRX1411280,-0.685230451
SRX1411281,-0.33463684
SRX1411282,0.166917546
SRX1411283,0.418827781
SRX1411284,-0.497602743
SRX1411285,0.065231071
SRX1411286,-0.21042369800000002
SRX1411288,-0.419644016
SRX2711962,0.399815933
SRX2711963,-0.399815933
SRX2711964,0.5409742080000001
SRX2711965,0.393705636
SRX2711966,-0.31327066000000003
SRX2711967,-0.868808279
ERX3558798,1.629288748
ERX3558799,1.6435696480000002
ERX3558800,2.626240318
ERX3558801,2.156085008
ERX3558802,-0.03341863
ERX3558803,0.16354725
ERX3558804,0.268333011
ERX3558805,-0.398461632
ERX3593017,0.9305580470000001
ERX3593018,0.9494265430000001
ERX3593020,-0.141392233
ERX3593021,0.01975199
ERX3593022,0.12164024200000001
SRX7058492,-0.08324616
SRX7058494,0.042104902
SRX7058495,0.016739102000000002
SRX7058509,0.08324616
SRX2662717,0.43770072600000004
SRX2662718,0.19461756
SRX2662721,-0.42439686
SRX2662722,0.42439686
SRX8143226,0.16972237
SRX8143227,-0.16972237
SRX8143228,0.050106644000000006
SRX8143229,-0.125084169
ERX2456848,0.65542956
ERX2456849,0.32197387800000005
ERX2456850,0.38185798200000004
ERX2456851,-0.8297744650000001
ERX2456852,-0.805207848
ERX2456853,-1.208407669
ERX2456854,0.815111931
ERX2456855,1.070218519
ERX2456856,0.718762882
ERX2456857,-0.8099501440000001
ERX2456858,-0.724635223
ERX2456859,-1.069507963
SRX540108,-0.234262503
SRX540109,0.234262503
SRX540110,1.7369864860000002
SRX540111,1.732363826
SRX540112,-6.291875584
SRX540113,-8.818278244
SRX540114,-0.270498772
SRX540115,-0.510509432
SRX1737662,-0.450338079
SRX1737664,-0.521674845
SRX1737665,-1.426881146
SRX1737667,-0.056048486
SRX1737668,-0.114974135
SRX1737670,0.17102262000000001
SRX1516139,0.134441322
SRX1516140,-0.134441322
SRX1516141,0.444097493
SRX1516142,0.5090540060000001
SRX591667,0.727481475
SRX591668,0.6355190270000001
SRX591669,-0.997236902
SRX591670,-1.204159672
SRX591671,-0.059443244000000006
SRX591675,-0.727481475
SRX591676,-0.130881713
SRX591677,-0.6889537290000001
SRX591678,-2.714528173
SRX591679,0.039657849
SRX2520351,0.762366901
SRX2520352,0.8774420900000001
SRX2520353,0.731387121
SRX2520354,1.232360412
SRX2520355,-0.350225706
SRX2520356,-0.629776505
SRX2520357,-0.65980678
SRX2520358,0.1242099
SRX2520359,0.052940022
SRX2520360,0.041972911
SRX2652927,-1.449689265
SRX2652931,-0.9288468230000001
SRX2652933,-0.9534726680000001
SRX2652935,-0.6641473330000001
SRX2652937,1.61762
SRX2940624,-0.318111531
SRX2940626,-0.347958196
SRX2940627,-0.482947391
SRX2940628,1.095047074
SRX2940629,-0.6120996830000001
SRX3763712,-0.21990620400000002
SRX3763714,0.21990620400000002
SRX3763715,1.03863259
SRX3763716,1.000317717
SRX3763717,1.031756899
ERX2259197,-0.104417831
ERX2259198,-0.398895957
ERX2259199,0.921032375
ERX2259200,-0.9210323760000001
SRX6976948,0.313758091
SRX6976949,-0.14044826100000002
SRX6976950,-0.17330983
SRX6976951,-0.034108834000000005
SRX6976952,-0.31453619800000004
SRX6976953,-0.22474527200000002
SRX4342817,-0.33461897500000004
SRX4342818,-0.416778103
SRX4342819,-2.164645809
SRX4342820,0.20513228
SRX4342821,0.5462647970000001
SRX4342822,-2.025948067
ERX2300159,0.13932371500000001
ERX2300160,-0.13932371400000002
ERX2300161,-0.012946989
ERX2300162,-0.12460815600000001
ERX2300163,0.43235076800000005
ERX2300164,0.19998000100000002
ERX2300165,1.090586917
ERX2300166,0.5659238280000001
ERX2300167,0.457747687
ERX2300168,0.13002291200000002
ERX2300169,0.7896130870000001
ERX2300170,0.516679357
ERX2068556,-0.12164943900000001
ERX2068557,-0.08501805600000001
ERX2068558,-0.317808493
ERX2068559,-0.014425056
ERX2068560,0.239533074
ERX2068561,-0.22510801800000002
SRX6747256,0.347673061
SRX6747257,0.260913907
SRX6747258,-0.317775957
SRX6747259,-0.19294629100000002
SRX6747260,-0.097864722
SRX6747265,2.615420761
SRX6747266,2.754418552
SRX6747268,0.678622654
SRX6747269,0.7496762
SRX6747953,-0.5371133730000001
SRX6747954,-0.24122464000000002
SRX6747955,0.7783380120000001
SRX6747957,-0.912925175
SRX6747958,-0.730205129
SRX7747527,3.030149319
SRX7747528,2.304595192
SRX7747537,2.267307647
SRX7747538,0.7462350870000001
SRX7747540,-0.7462350870000001
ERX2813653,0.052317709000000004
ERX2813654,-0.052317709000000004
ERX2813656,0.8444963790000001
ERX2813657,0.780496253
ERX2813658,0.8278861390000001
Paeru_0017,2.90468337
Paeru_0018,1.9372746520000002
Paeru_0019,2.358625487
Paeru_0020,1.424552748
Paeru_0033,-0.005061015
Paeru_0034,-1.402682806
Paeru_0035,-0.719332213
Paeru_0036,0.681637147
Paeru_0037,1.008681984
Paeru_0038,0.007094708000000001
Paeru_0039,-3.953799999
Paeru_0040,-2.613330242
Paeru_0041,-2.488244706
Paeru_0042,0.319800064
Paeru_0043,0.930086221
Paeru_0044,1.066016328
Paeru_0045,0.719919092
Paeru_0046,-0.026078204
Paeru_0047,0.856560721
Paeru_0048,2.286169315
Paeru_0049,2.051257701
Paeru_0050,-0.251722522
Paeru_0051,0.220162715
Paeru_0052,0.766899133
Paeru_0053,0.9288834560000001
Paeru_0056,-2.971647121
Paeru_0057,-2.476694333
Paeru_0058,1.846715268
Paeru_0059,1.653229412
Paeru_0060,2.622527309
Paeru_0061,-0.539088417
Paeru_0062,-0.490467484
Paeru_0063,-0.8717596830000001
Paeru_0064,-0.838045687
Paeru_0065,0.08838285500000001
Paeru_0066,-0.21031711700000003
Paeru_0068,-1.447799849
Paeru_0069,1.495019051
Paeru_0070,-0.6874610250000001
Paeru_0071,-1.266868808
Paeru_0072,0.16455362
Paeru_0073,0.63652626
Paeru_0074,-0.9054781110000001
Paeru_0075,-0.43432705600000004
Paeru_0077,0.5410326120000001
Paeru_0106,2.92017841
Paeru_0107,2.435357828
Paeru_0111,0.762993337
Paeru_0112,1.818115491
Paeru_0131,0.614669632
Paeru_0132,-0.943406936
Paeru_0133,0.72275894
Paeru_0134,0.327037627
Paeru_0135,-0.533089149
Paeru_0136,-0.854707061
Paeru_0137,0.268587701
Paeru_0138,-0.580820014
Paeru_0161,1.882927671
Paeru_0162,1.893611253
Paeru_0166,0.066367985
Paeru_0167,0.20406672
Paeru_0220,2.208265088
Paeru_0221,2.600268018
Paeru_0258,0.966168828
Paeru_0259,1.09494298
Paeru_0260,-0.42244572
Paeru_0261,1.663173268
Paeru_0262,-2.394946211
Paeru_0263,-1.395017299
Paeru_0264,-6.999478271
Paeru_0265,-0.171973691
Paeru_0266,-2.280886443
Paeru_0267,-2.63467975
Paeru_0268,-0.18230805
Paeru_0269,-2.532032025
