,rph
Cr_1,-0.008764396420953523
Cr_2,-0.010311434519632295
Cr_3,-0.0022011980475647322
Cr_4,0.0014285766679777991
Cr_5,-0.004432709958619433
Cr_6,-0.012653632457263076
Fe_1,-0.015900165876731348
Fe_2,-0.0074143389719912595
Fe_3,0.010007920961188068
Fe_4,0.01886802780032381
Fe_5,0.029439531012831737
Fe_6,0.037070127935260315
Cd_1,-0.002260145945471976
Cd_2,-0.0018537490279713345
Cd_3,-0.002848469090859018
Cd_4,0.0016631485445396108
Cd_5,0.001168592254910491
Cd_6,0.00378159307364815
Zn_1,-0.006454365190191345
Zn_2,-0.0342019268992028
Zn_3,-0.07125673983314644
Zn_4,-0.09153598302000174
Zn_5,-0.10240879070677038
Zn_6,-0.11100913296499428
Cu_1,0.0015312068964672125
Cu_2,0.004721018673204728
Cu_3,0.01274149748910075
Cu_4,0.015143393358403203
Cu_5,0.009197576287251798
Cu_6,0.016771804563266445
Pb_1,0.0008086170634995545
Pb_2,0.0038628646262147156
Pb_3,0.01172091976905921
Pb_4,0.01990856237945736
Pb_5,0.0322422501227508
Pb_6,0.041015293195738864
