,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,-5.697973542866667,1.3671156567173948,3.0,0.0,-7.2610420226,1.0,-5.1077973825,2.0,-4.7250812235,,,,,,,,,,
1,LB__LBtran,-2.2980165921333335,2.2500138904544285,3.0,3.0,-4.7850584135,4.0,-0.4037040548,5.0,-1.7052873081,,,,,,,,,,
2,LB__LBstat,-8.815156170466667,0.940455579265057,3.0,6.0,-9.6685703622,7.0,-7.8068823462,8.0,-8.970015803,,,,,,,,,,
3,LB__LBGexp,-5.5164234079,0.38910829372314165,3.0,9.0,-5.0955793306,10.0,-5.5905627947,11.0,-5.8631280984,,,,,,,,,,
4,LB__LBGtran,-14.15302226375,0.2693888343573198,2.0,12.0,-14.343508935300001,13.0,-13.9625355922,,,,,,,,,,,,
5,LB__LBGstat,-13.856161912,6.59469296881195,3.0,14.0,-19.7521397066,15.0,-6.7346781079,16.0,-15.0816679215,,,,,,,,,,
6,Life Cycle__S0,9.810825108733333,4.074137863386895,3.0,17.0,14.5151594776,18.0,7.4816348542,19.0,7.4356809944,,,,,,,,,,
7,Life Cycle__S1,-2.9623261669,0.48593200421723126,3.0,20.0,-3.5069324456,21.0,-2.5730490406,22.0,-2.8069970145000003,,,,,,,,,,
8,Life Cycle__S2,-9.2070724752,0.7706625867571592,3.0,23.0,-8.923542929,24.0,-10.0793364406,25.0,-8.618338056,,,,,,,,,,
9,Life Cycle__S3,-11.7154595031,2.2485528894688076,2.0,26.0,-10.1254925071,27.0,-13.3054264991,,,,,,,,,,,,
10,Life Cycle__S4,-9.4792957181,0.3794330297456063,3.0,28.0,-9.8023597802,29.0,-9.5740674773,30.0,-9.0614598968,,,,,,,,,,
11,Life Cycle__S5,-7.621657226466667,0.8527167118395684,3.0,31.0,-8.0505615309,32.0,-6.6396396934,33.0,-8.174770455099999,,,,,,,,,,
12,Life Cycle__S6,1.2380893507625002,12.625526349378054,8.0,34.0,2.8254485064,35.0,22.2717316062,36.0,-3.6072288572,37.0,0.8139326133,38.0,17.5981001593,39.0,-10.0939244366,40.0,-9.3390753727,41.0,-10.5642694126
13,Life Cycle__S7,-9.539506664366668,1.3644904985510875,3.0,42.0,-10.334834879,43.0,-7.9639528789,44.0,-10.3197322352,,,,,,,,,,
14,Life Cycle__S8,-2.2593024906999997,10.215522731063047,2.0,45.0,-9.4827678872,46.0,4.9641629058,,,,,,,,,,,,
15,Life Cycle__G135,-4.69395725095,3.4451584905778385,2.0,47.0,-2.25786232,48.0,-7.1300521819,,,,,,,,,,,,
16,Life Cycle__G150,-3.7799426292000002,0.9934331141733573,3.0,49.0,-3.5857962535,50.0,-2.8979143203,51.0,-4.8561173138000004,,,,,,,,,,
17,Life Cycle__G180,-8.001843131366668,1.2662773267790342,3.0,52.0,-7.0485455431,53.0,-7.5183481605,54.0,-9.4386356905,,,,,,,,,,
