,Value,list
TF,SigW,
reg_genes,108,"['S89' 'yvlD' 'S408' 'spx' 'S22' 'ywnJ' 'yfhM' 'yfhK' 'S1340' 'sppA'
 'S1121' 'S1476' 'S159' 'S105' 'yabR' 'yrhJ' 'divIC' 'S226' 'S1338' 'yceH'
 'S292' 'yabN' 'S1023' 'yfhL' 'S409' 'xpaC' 'yqjL' 'yabQ' 'yabP' 'yrhH'
 'fatR' 'yabO' 'bcrC' 'S690' 'yceE' 'S410' 'efeU' 'S1183' 'S1182' 'yoaF'
 'ybfP' 'ybfQ' 'yceF' 'S740' 'yceD' 'yabM' 'yceG' 'efeO' 'fabHA' 'yteJ'
 'S1088' 'sasA' 'ywbO' 'yceC' 'fabF' 'yaaN' 'ysdB' 'yaaO' 'yjbC' 'efeB'
 'S106']"
comp_genes,50,['S462' 'S1495' 'yjzH']
both_genes,47,"['pspA' 'yvlA' 'yxzE' 'ydjO' 'yxjI' 'ydbS' 'ydjG' 'yknZ' 'rsiW' 'yvlB'
 'ythP' 'pbpE' 'yuaF' 'S741' 'S742' 'spo0M' 'fosB' 'S658' 'ydjP' 'yknW'
 'racX' 'S221' 'yuaI' 'ythQ' 'yqfB' 'yvlC' 'S719' 'S1489' 'floA' 'ydbT'
 'yozO' 'S691' 'yknX' 'yobJ' 'ybfO' 'floT' 'sigW' 'yeaA' 'ydjI' 'S160'
 'yjoB' 'ydjH' 'yqeZ' 'ywrE' 'yknY' 'S1390' 'yoaG']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,44,
comp_ops,22,
both_ops,21,
