,A,SigW
R2,,0.6203915078270191
xmin,,11.5066
xmid,,13.099701722434398
xmax,,16.4523
ystart,,-13.091729904932308
yend,,14.193360010085954
LBexp_1,-7.2610420226,14.3754
LBexp_2,-5.1077973825,14.1596
LBexp_3,-4.7250812235,13.8448
LBtran_1,-4.7850584135,13.1813
LBtran_2,-0.4037040548,13.7096
LBtran_3,-1.7052873081,13.5021
LBstat_1,-9.6685703622,13.4877
LBstat_2,-7.8068823462,13.4714
LBstat_3,-8.970015803,13.2532
LBGexp_1,-5.0955793306,14.7545
LBGexp_2,-5.5905627947,14.4851
LBGexp_3,-5.8631280984,14.6738
LBGtran_2,-14.343508935300001,11.7864
LBGtran_3,-13.9625355922,13.0582
LBGstat_1,-19.7521397066,12.899000000000001
LBGstat_2,-6.7346781079,15.1528
LBGstat_3,-15.0816679215,13.5632
S0_1,14.5151594776,15.4236
S0_2,7.4816348542,15.2153
S0_3,7.4356809944,15.3521
S1_1,-3.5069324456,14.2637
S1_2,-2.5730490406,14.3163
S1_3,-2.8069970145000003,14.4595
S2_1,-8.923542929,13.7787
S2_2,-10.0793364406,13.4288
S2_3,-8.618338056,13.5266
S3_1,-10.1254925071,13.2945
S3_2,-13.3054264991,13.1187
S4_1,-9.8023597802,13.6053
S4_2,-9.5740674773,13.479800000000001
S4_3,-9.0614598968,13.1945
S5_1,-8.0505615309,12.9613
S5_2,-6.6396396934,13.5653
S5_3,-8.174770455099999,13.3961
S6_1,2.8254485064,14.3741
S6_2,22.2717316062,14.863
S6_3,-3.6072288572,13.4778
S6/t_1,0.8139326133,13.9817
S6/t_2,17.5981001593,13.7807
S6_4,-10.0939244366,11.5066
S6_5,-9.3390753727,12.3495
S6_6,-10.5642694126,12.2731
S7_4,-10.334834879,12.0271
S7_5,-7.9639528789,12.6974
S7_6,-10.3197322352,12.0521
S8_4,-9.4827678872,11.9778
S8_5,4.9641629058,13.799900000000001
G135_1,-2.25786232,15.5295
G135_3,-7.1300521819,13.6346
G150_1,-3.5857962535,14.9937
G150_2,-2.8979143203,15.3716
G150_3,-4.8561173138000004,15.2242
G180_1,-7.0485455431,14.857
G180_2,-7.5183481605,15.0101
G180_3,-9.4386356905,14.0177
C30_1,-16.0904670461,12.9425
C30_2,-16.6364322266,13.2782
C90_1,-11.2276033706,13.5125
C90_2,-10.6959849129,13.7885
BI_1,-0.6080556384,14.6123
BI_2,3.3229446264,14.9236
BC_2,-10.9737102833,13.9444
BC/t_1,-14.415129983,13.0915
BC/t_2,-13.266687593,13.7377
BC_1,-13.8567198507,13.2313
Sw_1,-1.2437458805000001,14.0762
Sw_2,1.0327296115,14.4961
BT_1,-6.1312147092,14.0837
BT_2,-7.788652315,13.3491
B36_1,-2.5592715361,14.4915
B36_2,-3.0322709273,14.1956
B60_1,-3.5600258488,14.7009
B60_2,-4.4676286713,14.365
M9exp_1,0.0716908665,14.9809
M9exp_2,-0.4583175654,14.6411
M9exp_3,0.3866266989,14.5685
M9tran_1,2.8978550372000003,14.7781
M9tran_2,4.4348665463,15.009
M9tran_3,3.0625837027,14.9689
M9stat_1,-11.8741373414,12.413
M9stat_2,-10.2741754219,12.3651
M9stat_3,-9.7286942076,12.1791
M+G_1,4.3241438673,15.0609
M+G_2,0.5670488482,14.579
M+G_3,1.1908265286,14.8658
Glu_1,-2.3753584827,14.944
Glu_2,-2.9866885687,14.732
Glu_3,-3.2009013304,14.7848
Fru_1,-10.275090506,13.8047
Fru_2,-0.024232743,15.149
Fru_3,-2.2210741685,14.4011
Mal_1,4.7390282615,14.4275
Mal_2,-0.5046461050000001,14.2517
Mal_3,0.5431847588000001,14.4937
G+S_2,-5.1173044082,14.2716
G+S_3,-6.8103198691,14.1687
Pyr_1,-1.6780813760000002,14.1479
