,A,NsrR,Fis,Fnr,NarP,flhD,NarL,ihfB
R2,,0.1601944230106257,0.1473204248939911,0.07991358429691364,0.042509685724194335,0.02758943505259559,0.027358946105077386,0.010255437156112657
xmin,,-0.8970826360000004,-4.616734858000001,-9.786193262000001,-2.3294870029999992,-5.415813057,-3.3278448574369563,-2.3858350260000005
xmid,,-0.08080076435293153,,,0.055897915920660096,,,0.2609477519045017
xmax,,5.797296702,1.9071262229999988,2.044364117999999,3.3566115678723563,4.760193415353867,1.2829432884999994,1.6466498449999991
ystart,,1.4109212699564846,8.252501615470289,8.548114166018417,2.5042193214673016,4.834603197190433,4.923190893687625,2.7844022562782555
yend,,7.699558370493486,0.0740198278491353,1.150707188057,7.068045308426237,1.5961244174779732,1.6652868164581607,4.677960712840073
control__wt_glc__1,0.4429272325780254,0.020173296999999483,0.05150147099999991,-0.0526320000000009,0.013805372000000204,-0.12659477299999988,0.0046058085000000295,0.08337238499999877
control__wt_glc__2,-0.4429272325780429,-0.020173297000000368,-0.051501471000001686,0.05263199999999912,-0.013805371999999316,0.12659477299999988,-0.0046058085000000295,-0.08337238500000055
fur__wt_dpd__1,-1.2626124652107518,0.02132923399999953,-1.9217788310000008,-0.2233275490000004,-0.6764180889999993,-1.7674656090000005,0.7958407655000004,0.7158603249999995
fur__wt_dpd__2,-1.2576360103838378,-0.0926817420000008,-2.086369940000001,-0.20726320800000053,-0.8038825889999996,-1.880887454,0.7809120795000002,0.8566654449999991
fur__wt_fe__1,0.3885833090712973,-0.16230739300000074,0.475979152999999,-0.559124369000001,-0.05291579899999999,-0.3019890670000001,0.08602043750000021,-0.0769950650000002
fur__wt_fe__2,0.0897475046353247,0.13387232699999976,0.4851470489999983,-0.5180337210000019,-0.14241751799999935,-0.2768906470000001,0.1956717155000005,-0.08671744500000145
fur__delfur_dpd__1,0.2843371874218648,0.13012690299999985,-1.6706239160000012,-0.35869387400000186,-0.833438136999999,-2.018074196,0.6368233544999997,0.6898034449999989
fur__delfur_dpd__2,-0.1100274150098622,0.014325488999999969,-1.3292528530000016,-0.3499676950000019,-0.9859630329999992,-1.910472906,0.6053562415,0.621869414999999
fur__delfur_fe2__1,0.2774748330702974,0.056326930999999185,0.15395407899999825,-0.2728296990000008,-0.472726054999999,0.13425278300000001,0.2292959385,0.3658187149999996
fur__delfur_fe2__2,0.8926045292857371,0.10458706799999984,0.014939036999999544,-0.2654058500000005,-0.4264569919999994,0.12133000499999992,0.31020635650000017,0.33581042499999825
acid__wt_ph5__1,-0.3457896131795462,0.06713789499999923,-0.03657761600000065,-0.5248469310000008,0.2445666950000005,-0.7547466570000001,0.7226422634999999,0.2842574349999989
acid__wt_ph5__2,-0.3875016948594065,0.18047799799999972,0.033789607999999305,-0.5394919760000008,0.22695780200000026,-0.7751480549999998,0.6039874684999997,0.3016573449999989
acid__delgadx_ph5__2,-0.4004784022762732,-0.1433996440000005,0.3585294089999991,-0.4808098230000013,0.14736857200000042,-0.668438976,0.7064404204999999,0.03620512499999862
acid__delgadw_ph5__1,0.4623057862375775,0.3132534259999993,0.13649145399999973,-0.5694477410000012,0.4227118990000012,-1.0576382030000009,0.6671839154999999,0.19517709499999825
acid__delgadw_ph5__2,-0.7284175770518998,0.06219739199999896,0.10350239899999993,-0.5457824470000006,0.05747584900000114,-0.7929399760000004,0.6889960855000004,0.1831834249999993
acid__delgade_ph5__1,-0.248185591642688,0.08034080999999915,0.015072957999999304,-0.4965959550000018,0.25074061100000034,-0.6756536369999999,0.4548568884999993,0.3321859449999991
acid__delgade_ph5__2,-0.0371425285661787,0.2892667349999991,-0.06379485400000108,-0.5235996460000011,0.3533819650000005,-0.8510678880000002,0.4452644244999986,0.2395609849999989
oxidative__wt_pq__1,0.2183521911075358,1.942484969999998,-2.6720057840000013,-0.27798360400000105,0.28711822,-1.956612878,1.1253454755000003,0.9466146249999988
oxidative__wt_pq__2,-0.5197991981003641,0.7757423549999984,-2.689072338000001,-0.40360473400000174,-0.2460853709999986,-2.4607919120000004,1.2190429044999993,0.948808184999999
oxidative__deloxyr_pq__1,-0.6337101167538385,1.3521159439999997,-2.2889415909999995,-0.11731480800000148,0.5344758740000009,-1.4641797959999994,1.0256380375000012,0.8749087249999992
oxidative__deloxyr_pq__2,-0.3417764292072417,1.0272337349999985,-2.1090517759999994,-0.05299572400000052,0.30342083499999983,-1.8119367659999999,1.1128686854999996,0.9672342149999996
oxidative__delsoxr_pq__1,-1.4354678127706355,0.3514178730000008,-2.1381601130000023,-0.4695711340000006,-0.4556887319999987,-1.304104916,0.8344043914999997,1.0713253449999982
oxidative__delsoxr_pq__2,-1.1324887888202546,0.5156249030000009,-2.140912192000001,-0.4755742960000013,-0.5965014149999996,-1.859776541,0.8354505564999997,1.1682316949999991
oxidative__delsoxs_pq__1,-1.1783568387852292,0.9125774829999996,-2.714209596000001,-0.1387633190000006,-0.258712770999999,-1.9960218930000004,1.2055026184999995,1.1351437949999994
oxidative__delsoxs_pq__2,-0.8046575556538673,0.8972209399999986,-2.7465793770000007,-0.1421156520000011,-0.15700926999999965,-1.4033367730000004,1.1488311055000002,1.020138574999999
nac_ntrc__wt_csn__1,-0.8896001326103797,0.4691148399999987,-1.5895015720000003,-0.1587119630000018,0.054424320999999054,-0.9125793890000002,-0.07344860249999917,0.17254414499999982
nac_ntrc__wt_csn__2,-1.1544548944791857,0.4731475499999984,-1.4300714450000012,-0.2040164890000007,0.08937470800000114,-0.810985992,-0.10560864150000082,0.2130251749999985
nac_ntrc__wt_cytd__1,-1.881212026304631,-0.2829568170000005,-0.9788554050000008,-0.2233020650000004,-0.3652916689999994,-0.7287301950000007,0.09312365450000026,0.4575306549999994
nac_ntrc__wt_cytd__2,-0.8721045787593236,-0.10220717900000054,-0.8969257170000002,-0.14878209200000114,-0.3774979179999995,-0.8302642440000003,0.11562003450000002,0.5979945149999981
nac_ntrc__wt_gln__1,-0.94958220330659,0.2731468699999997,-1.4643641969999999,-0.1339289860000008,0.152274782000001,-0.2876468320000001,0.3107882125000003,1.0409726349999993
nac_ntrc__wt_gln__2,-1.6467021322312745,0.13873976999999904,-1.4610603710000003,-0.07252378100000101,0.16683992500000056,-0.7679582969999998,0.4495536754999998,1.1155340849999984
nac_ntrc__bw_delnac_csn__1,1.6679940423483353,0.9049030649999992,-2.3213555800000005,-0.17298681200000132,0.21849499700000047,-1.114148526,0.2402466455000001,0.2154991849999988
nac_ntrc__bw_delnac_csn__2,0.1208030406798539,0.8081028409999993,-2.619900343000001,-0.2073357070000004,0.009574689999999995,-1.174369788,0.15004977349999926,-0.16648385500000096
nac_ntrc__bw_delnac_cytd__1,-1.584891824324604,0.5986212049999997,-0.9524061899999996,-0.3990849310000009,0.6608060740000008,0.11322067799999935,0.4465692275000004,0.4645455949999988
nac_ntrc__bw_delnac_cytd__2,-1.165282843527519,0.8011400349999986,-0.8370277440000021,-0.4580705310000006,0.8232493740000013,-0.3536767890000005,0.4666444895000002,0.4230415649999984
nac_ntrc__bw_delnac_gln__1,-1.4904857655936803,0.820466560999999,-1.7310370420000003,-0.3877521210000019,0.4796237049999998,-0.24886122599999985,0.6344954094999986,0.8464916449999986
nac_ntrc__bw_delnac_gln__2,-1.0405830441573234,0.4735425289999995,-1.7629526340000012,-0.3182893920000005,0.24993073300000115,-0.2745180480000009,0.6517965395000003,0.8042016749999998
nac_ntrc__bw_delnac_nh4__1,-2.072482822845678,-0.06351694100000049,-0.3255205800000009,-0.4074629840000004,0.4986634430000008,1.6157770790000001,0.049252151500000174,-0.3020342150000008
nac_ntrc__bw_delnac_nh4__2,-1.513399947853806,0.10809149499999916,-0.16732394500000147,-0.4319254960000016,0.5637561570000003,1.5415462050000004,0.09158619050000016,-0.19284083500000013
misc__wt_no_te__1,-0.335455887237039,0.5150649899999991,-1.028454369000002,-0.5747228530000008,-0.6860058059999989,-0.7311294479999999,0.8055963485,0.8689442749999987
misc__wt_no_te__2,-0.7019029883475016,0.14068449099999913,-0.4668171650000002,-0.4345764080000016,-0.3941259529999997,-0.4457265059999997,0.7341074955,0.5093796549999983
misc__bw_delcbl__1,-0.2778756485823216,0.5520957099999997,0.2943021399999992,-0.5447975610000011,0.5365929020000006,0.2969647240000013,0.035281455499999836,-0.3394036750000016
misc__bw_delcbl__2,-0.4253951237393871,0.5220822149999993,0.4084237089999992,-0.5101214760000019,0.4313851960000008,0.17406689500000014,0.0774423845000003,-0.29720346500000083
misc__bw_delfabr__1,0.3851111693067917,0.0128728959999993,0.26380739499999883,-0.5468835700000003,0.5464917110000007,2.2494222469999983,-0.1645777104999997,-0.6204796650000013
misc__bw_delfabr__2,0.9297906887122594,0.18995862999999868,0.2555564229999998,-0.5969020620000016,0.5413782020000006,2.202174337,-0.3014689524999996,-0.5922961330000014
misc__bw_delfadr__1,-0.1672921688745095,0.3490431069999991,0.15936749599999978,-0.6318394690000009,0.3743767,1.0715016769999997,0.0227612465,-0.2622498450000013
misc__bw_delfadr__2,0.3429648800638177,0.743662539999999,0.04388489099999937,-0.5991148660000007,0.3004944870000008,1.0911580019999991,0.08063040849999936,-0.13650693500000166
