,A,RpoE
R2,,0.4314604793550284
xmin,,-1.5045065694999993
xmid,,0.2369738966028848
xmax,,4.026148923400429
ystart,,-0.8698863498069056
yend,,10.537853743422511
control__wt_glc__1,0.0725848758993559,-0.0180984844999994
control__wt_glc__2,-0.0725848758993891,0.01809848450000029
fur__wt_dpd__1,3.0726096219841383,1.6799141284999999
fur__wt_dpd__2,3.1234992238823325,1.8721906775000008
fur__wt_fe__1,0.57534465282707,0.05634871050000001
fur__wt_fe__2,0.8133189407589027,0.03247298950000044
fur__delfur_dpd__1,3.7962378414396416,1.8852421845000011
fur__delfur_dpd__2,3.981363169076008,2.2885473535000003
fur__delfur_fe2__1,2.0293637129813065,0.825044998500001
fur__delfur_fe2__2,2.022224628191623,0.8119283305000007
acid__wt_ph5__1,3.7557994909539496,1.3801301595000002
acid__wt_ph5__2,3.806319605978384,1.3659476374999997
acid__delgadx_ph5__2,4.6095230237337015,1.6935235095000003
acid__delgadw_ph5__1,4.559047927062795,1.3510059774999998
acid__delgadw_ph5__2,4.990921278009252,1.4930185214999998
acid__delgade_ph5__1,4.135393078144741,1.2834220644999998
acid__delgade_ph5__2,4.049863611753857,1.2782140675000004
oxidative__wt_pq__1,3.5534627977455515,1.8363188925
oxidative__wt_pq__2,3.473398367377117,1.9161123275000005
oxidative__deloxyr_pq__1,2.108861226337106,1.203835379500001
oxidative__deloxyr_pq__2,2.3407104161549963,1.3073953484999998
oxidative__delsoxr_pq__1,1.9361916392477496,1.4388277835000007
oxidative__delsoxr_pq__2,2.077113068705429,1.3490506795000012
oxidative__delsoxs_pq__1,2.7866703352969604,2.031289665500001
oxidative__delsoxs_pq__2,3.3638481775518865,2.0190356855000005
nac_ntrc__wt_csn__1,3.057942727432553,1.4478974045000008
nac_ntrc__wt_csn__2,3.295377317788113,1.5906978274999997
nac_ntrc__wt_cytd__1,2.890152328486881,1.0851983085000008
nac_ntrc__wt_cytd__2,3.186846174242375,1.1836714305000005
nac_ntrc__wt_gln__1,4.512306985623626,1.2957329165000004
nac_ntrc__wt_gln__2,4.22705929270381,1.3483150205000012
nac_ntrc__bw_delnac_csn__1,3.465287022038745,2.0182131315
nac_ntrc__bw_delnac_csn__2,3.407604162203366,1.7331418774999996
nac_ntrc__bw_delnac_cytd__1,3.923551105729865,1.3076745945000001
nac_ntrc__bw_delnac_cytd__2,3.818732934558557,1.2361590744999995
nac_ntrc__bw_delnac_gln__1,5.318548490277238,1.7000723764999996
nac_ntrc__bw_delnac_gln__2,4.49616704414256,1.7166699454999996
nac_ntrc__bw_delnac_nh4__1,0.4436880398088694,0.5111228074999996
nac_ntrc__bw_delnac_nh4__2,0.3897967555506795,0.4500462855000009
misc__wt_no_te__1,2.4301370628013426,1.5056228725
misc__wt_no_te__2,2.6288816894156013,1.3159307155000004
misc__bw_delcbl__1,1.2817458843284577,0.6810712315000007
misc__bw_delcbl__2,1.3109935734022398,0.7640849665000005
misc__bw_delfabr__1,0.056185336869719,0.35054005850000003
misc__bw_delfabr__2,0.2456062956607991,0.3612891344999998
misc__bw_delfadr__1,1.6144642905240882,0.9311366925000008
misc__bw_delfadr__2,1.6396817536477266,1.0281805335000005
misc__nitr_031__1,2.879837539839113,1.5672049794999996
omics__wt_glu__1,-0.3729292421638899,0.24458392050000025
omics__wt_glu__2,-0.0059664240924655,0.3532411885000002
omics__wt_gly__1,0.2130678300518712,0.4081792455000013
omics__wt_gly__2,0.114612736395422,0.4602919525000004
omics__wt_thr__1,-0.2947069750774169,1.1189491645
omics__wt_thr__2,-0.229746405993798,1.1675043105
omics__bw_ac__1,1.1230088790905364,0.466036432500001
omics__bw_ac__2,0.9773331460176056,0.5757037105000009
omics__bw_fum__1,-0.0889039294160587,0.12672916150000013
omics__bw_fum__2,0.2485546248122835,0.08981206750000048
omics__bw_glc__1,2.3533851637419265,0.8670816714999994
omics__bw_glc__2,2.367840990291428,0.8323480785000008
omics__bw_pyr__1,1.6318423841070466,0.8699898615000006
omics__bw_pyr__2,1.6997952240749026,0.7577018175000011
ompr__wt_nacl__1,-1.3251240528061836,0.5889603235000003
ompr__wt_nacl__2,-1.7997517099209617,0.5200807705000017
ompr__bw_delompr_nacl__1,6.330371905027084,1.7644149415
ompr__bw_delompr_nacl__2,6.231302533367117,1.8123358925
minspan__wt_ade__1,2.4424591383445544,2.0831759015000006
minspan__wt_glc__2,0.662839940891017,0.8802842814999998
minspan__wt_glc__3,0.624369975794563,0.8476663655000003
minspan__wt_glc__4,1.3478871981895728,0.8682659385000004
minspan__wt_glc_anaero__1,0.41857657439349,0.9570892964999996
minspan__wt_glc_anaero__2,0.3945994193850953,1.1292113864999995
minspan__wt_trp__1,1.2214704195050845,1.5261132034999996
minspan__bw_delcra_glc__2,1.2891064931022451,1.0838652534999973
minspan__bw_delcra_trp__1,3.1396079485795227,1.8047222855000005
minspan__bw_delmntr__1,-0.941046260266604,0.5681054314999994
minspan__bw_delnac_ade__1,0.8538160915376813,1.8081508035
minspan__bw_delnac_glc__1,1.703764655758439,0.9837405605000012
cra_crp__wt_ac__1,0.3144985433904514,0.6725525085000008
cra_crp__wt_ac__2,0.6304091548166152,0.6138341964999992
cra_crp__wt_fru__1,-1.9068916056739489,-0.06833819249999973
cra_crp__wt_fru__2,-1.3875342428071789,0.1067654255000008
cra_crp__delcra_ac__1,1.7457524953739274,1.3301475055000012
cra_crp__delcra_ac__2,2.066387497427263,1.580773411500001
cra_crp__delcra_fru__1,2.380210343176451,1.0318305935000005
cra_crp__delcra_fru__2,2.147824447747196,1.0395589044999998
cra_crp__delcra_glc__1,1.251440569624935,0.5512385615
cra_crp__delcra_glc__2,1.236568380735565,0.5130602795000012
rpoB__wt_031__1,0.9210875685082924,1.1830196624999996
rpoB__wt_044__1,1.2983024205139762,1.042342892500001
rpoB__wt_lb__1,7.517749001148178,1.7455784034999997
rpoB__wt_lb__2,7.469252208033542,1.7837340445000012
rpoB__rpoBE546V_031__1,1.3420445029711374,1.2587560164999996
rpoB__rpoBE546V_044__1,0.9615985759025896,1.2203609515
rpoB__rpoBE546V_lb__1,3.901942488526661,0.7423416795000009
rpoB__rpoBE546V_lb__2,3.6024310995155044,0.7712577695
rpoB__rpoBE546V_glc__1,-0.2787170268626401,0.09058254950000057
rpoB__rpoBE672K_glc__1,-0.8297239113937042,0.11482942050000045
rpoB__rpoBE672K_glc__2,-0.0673784312979273,0.19139527649999974
rpoB__rpoBE672K_lb__1,-0.8079978242844358,-0.3644073235000009
rpoB__rpoBE672K_lb__2,-0.284214922305897,-0.2314586074999996
crp__wt_fru__1,0.6739406996037703,0.27754914850000034
crp__wt_glyc__1,-0.7639070235335312,-0.07511017049999946
crp__wt_glyc__2,-0.6217252534686862,-0.03604530449999999
crp__delar1_glyc__1,1.5340059879803507,1.9262847335000008
crp__delar1_glyc__2,1.8051373183708777,1.6081376675000012
crp__delar1ar2_glyc__1,5.191956200638415,1.7292994635000003
crp__delar1ar2_glyc__2,5.173870196916921,1.6265455825000004
crp__delar1ar2_glyc__3,4.557265120310295,1.5740228725000005
crp__delar2_glyc__1,4.707847488674502,1.9376832665000008
crp__delar2_glyc__2,4.338673622644024,1.8490691095000005
crp__delar2_glyc__3,4.903594422287955,1.5539204365000003
crp__delcrp_fru__1,4.182047902990877,2.0920074605
crp__delcrp_fru__2,3.974244620964179,2.0887012935
crp__delcrp_fru__3,3.864456092987456,2.0958375915000005
crp__delcrp_glc__1,5.596602603329741,2.4048997735000004
crp__delcrp_glc__2,5.446925200411985,2.3170983935
crp__delcrp_glc__3,5.380543542489794,2.332368543500001
crp__delcrp_glyc__1,3.9296385413515327,1.8503408195000013
crp__delcrp_glyc__2,3.49123130310057,1.7751611614999998
crp__delcrp_glyc__3,3.1661475549276874,1.8565217015
glu__glu_ale3__1,-1.7627707717529828,0.5231560845000001
glu__glu_ale4__1,-1.9774891719939132,-0.4269600395
glu__glu_ale5__1,0.0266206537894864,0.05421209250000025
glu__glu_ale6__1,-1.7432563626173303,-1.093291720499998
glu__glu_ale8__1,-2.3741577081388288,0.3896454664999993
glu__glu_ale9__1,-3.229059540094899,0.4618448164999993
glu__glu_ale10__1,-2.038829570076997,0.4077663435000005
42c__wt_42c__1,1.0860280770729205,1.1621150604999997
42c__42c_ale1__1,-3.2072017857092208,-0.07169377850000025
42c__42c_ale2__1,-2.6804772562953865,0.2313087135000007
42c__42c_ale3__1,1.6886747713512285,0.3737578715000005
42c__42c_ale4__1,-3.41200591780441,0.5416096264999997
42c__42c_ale5__1,-2.0075692757534367,-0.3637375614999998
42c__42c_ale6__1,-0.948366296021816,0.2033526124999998
42c__42c_ale8__1,-2.267648475922125,0.9616333395000004
42c__42c_ale9__1,-0.2545890986686676,-0.02872949549999948
42c__42c_ale10__1,-3.4464164249881937,0.1744519165000007
ssw__wt_ac__1,4.959209716987353,2.0161845465
ssw__wt_glc__1,0.0423968313207825,0.4023022855000011
ssw__wt_glyc__1,3.782937400678388,0.8313336305000014
ssw__wt_xyl__1,2.010336098863974,1.3129809295
ssw__glc_ale1__1,-2.1753144745241837,-0.2630676914999999
ssw__glc_ale2__1,-1.5211016453310668,0.6429678235000011
ssw__glc_ale3__1,0.6683169603586927,0.7543626855000003
ssw__glyc_ale1__1,-1.7762856254636057,-0.3782012764999996
ssw__glyc_ale2__1,1.2740889834081432,1.0225509544999998
ssw__xyl_ale1__1,-2.350608395917348,-0.2606105954999993
ssw__xyl_ale2__1,-2.867195079199283,-0.7795132335000003
ssw__xyl_ale3__1,-0.1551309794554435,-0.08442575750000003
ssw__glc_ac_ac2__1,-0.5439903849354887,0.22210975750000014
ssw__glc_ac_glc1__1,-0.5256932308919253,-0.5134596215
ssw__glc_glyc_glc__1,-2.278024254398248,0.3216285214999992
ssw__glc_glyc_glyc__1,-2.669414837844274,-0.1852867665
ssw__glc_xyl_glc__1,-2.6700697913641744,-0.33212127849999984
ssw__glc_xyl_xyl__1,-2.1283217561253243,-0.7373528544999992
ica__wt_glc__1,-1.3972487604049504,0.14173517950000125
ica__wt_glc__2,-1.2489147078995586,0.16494361450000028
ica__wt_glc__3,-0.0733197997755011,0.31937732350000125
ica__wt_glc__4,-0.2041553883681701,0.8042477624999993
ica__arg_sbt__1,-3.0758513367280704,0.10478140050000118
ica__arg_sbt__2,-2.710227651784475,-0.013411754499998985
ica__cytd_rib__1,0.2959560487447515,1.1688772855000007
ica__cytd_rib__2,-0.9551242877648356,0.921848047500001
ica__gth__1,5.469490641164864,2.757870133500001
ica__gth__2,5.693114114542839,2.6753919035
ica__leu_glcr__1,-2.002730342659357,0.15730501350000026
ica__leu_glcr__2,-1.871182380962976,0.1782461245000011
ica__met_glc__1,-1.868217534537697,-0.10966828249999948
ica__met_glc__2,-1.57202821651302,-0.2346687274999999
ica__no3_anaero__1,2.0764591085815045,1.8091102925
ica__no3_anaero__2,2.2362901164457427,1.8533968405000003
ica__phe_acgam__1,-0.7764973567974955,0.03585493849999999
ica__phe_acgam__2,-0.3589932190211424,0.061855888500000226
ica__thm_gal__1,-0.9847942795112712,0.7084737585000003
ica__thm_gal__2,-0.8974848944339522,0.6938309095000008
ica__tyr_glcn__1,-1.7649305063695948,-0.018723084499999487
ica__tyr_glcn__2,-1.7584069544029886,-0.008675389499998687
ica__ura_pyr__1,-0.4837374287438954,1.0743113684999999
ica__ura_pyr__2,0.9918238862924232,1.4192280554999996
ica__wt_glc__5,-0.507409144466283,0.33899953150000073
ica__wt_glc__6,-0.5920425977293859,0.4249338834999996
ica__bw_delpurR_cytd__1,-0.6086490831812962,0.18622639450000025
ica__bw_delpurR_cytd__2,0.21433514920389,0.5334355894999998
ica__ade_glc__1,0.0437359033688327,0.5706701965000001
ica__ade_glc__2,-0.9231314775024484,0.1895059374999999
ytf__wt_glc__1,-1.8321301283117997,0.9004854815000005
ytf__wt_glc__2,-2.092729217286569,0.9941944445000016
ytf__delyafC__1,-2.5581686002134667,0.8645998015000007
ytf__delyafC__2,-2.540433038313428,0.7684870124999996
ytf__delyeiE__1,-2.3464252735160023,0.3911769884999998
ytf__delyeiE__2,-2.0124785103163534,0.3856457305000003
ytf__delyiaJ__1,-0.3663453521076791,1.5479787605000013
ytf__delyiaJ__2,0.3103887374141607,2.2094680335000003
ytf__delyieP__1,-2.550982839951764,0.8542557965000004
ytf__delyieP__2,-2.1102689577090525,0.8262089945000001
