,ilvI
Cr_1,0.008136378853784602
Cr_2,0.010733158543609284
Cr_3,0.014295482856935741
Cr_4,0.01640853610437401
Cr_5,0.01591848086499786
Cr_6,0.01587905343463826
Fe_1,-0.011081140261776087
Fe_2,-0.026775123352768142
Fe_3,-0.03834988054801396
Fe_4,-0.04806002097108615
Fe_5,-0.053323672340113315
Fe_6,-0.057946453972554726
Cd_1,0.004863903865882775
Cd_2,0.010597374343028857
Cd_3,0.016354402926442527
Cd_4,0.0207003864339618
Cd_5,0.02122371640960716
Cd_6,0.02863294622798612
Zn_1,-0.007890625993973764
Zn_2,-0.008234567511136682
Zn_3,-0.00031999595671999414
Zn_4,0.015244893037229416
Zn_5,0.030911120142637083
Zn_6,0.047048978564242616
Cu_1,0.002643454843783423
Cu_2,0.003962846472653267
Cu_3,0.0016223665047355215
Cu_4,-0.003253073734442316
Cu_5,-0.005376995599170543
Cu_6,-0.002768214452524809
Pb_1,-0.0016886381882822668
Pb_2,0.0039784924290753015
Pb_3,0.0091880256094625
Pb_4,0.012202491131426014
Pb_5,0.013023674915757436
Pb_6,0.014672898000310504
