,speF
Cr_1,-0.0014234911055700098
Cr_2,-0.017085747583069504
Cr_3,-0.00669151331194154
Cr_4,-0.003053775153203225
Cr_5,0.00024654426931175705
Cr_6,0.0030071287470901623
Fe_1,-0.17252976975249226
Fe_2,-0.18314210499609546
Fe_3,-0.2248987983537197
Fe_4,-0.03140362349431671
Fe_5,-0.059770953353383886
Fe_6,-0.12031239491487407
Cd_1,0.01144428110647214
Cd_2,0.01888200865999364
Cd_3,0.02619508292690757
Cd_4,0.0349137081225285
Cd_5,0.040432740348544924
Cd_6,0.042157472572101215
Zn_1,0.023091233096295984
Zn_2,0.0046816867722035685
Zn_3,-0.022318070243881785
Zn_4,0.04502629897636711
Zn_5,0.012826473815461314
Zn_6,-0.010252861913610287
Cu_1,0.007551357843889671
Cu_2,0.01523350036918862
Cu_3,0.029290974277753994
Cu_4,0.03442292226067389
Cu_5,0.0434666868476161
Cu_6,0.056611262539829274
Pb_1,0.031109007336776337
Pb_2,0.038546110078125716
Pb_3,0.05583145113181775
Pb_4,0.07833804146480837
Pb_5,0.08955210764373807
Pb_6,0.07948431673019833
