,-0.1083770226,-0.0928945908,-0.077412159,-0.06192972719999999,-0.04644729539999999,-0.03096486359999999,-0.015482431799999988,1.3877787807814457e-17,0.015482431800000016,0.030964863600000017,0.04644729540000002,0.06192972720000002,0.07741215900000002,0.09289459080000002,0.10837702260000003,0.12385945440000003,0.13934188620000004,0.15482431800000002,0.17030674980000005,0.18578918160000008
thresh,-0.1161182385,0.1161182385,9,,,,,,,,,,,,,,,,,
unreg,0,1,0,1,2,18,496,2216,363,32,4,1,1,1,0,0,4,4,3,0
YvrHb,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0
DegU,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0
SigA,0,0,0,0,0,4,157,718,111,30,1,0,0,0,0,0,0,0,0,0
WalR,0,0,1,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
YvrHb and SigA,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0
DegU and SigA,0,0,0,0,0,0,7,58,5,0,0,0,0,0,0,0,0,0,0,0
SigA and WalR,0,0,2,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
"YvrHb, DegU, SigA, and WalR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['yxiM' 'yxiK' 'yxzI' 'yxzJ'],['yxiI' 'yxiJ' 'yxzG' 'yxiH'],['yxiG' 'yxiF' 'yxzC'],[]
YvrHb_genes,[],[],[],[],[],[],[],['sunA' 'bdbB' 'yolJ' 'bdbA' 'sunT'],['sigO' 'rsoA' 'dltE'],['ywzH' 'dltA' 'dltD' 'dltC' 'dltB'],[],[],[],[],[],[],[],[],[],[]
DegU_genes,[],[],[],[],[],[],[],['bslA' 'yveA' 'sipT' 'rqcH' 'yvcA' 'yvzA' 'bpr'],['yvcB' 'yxjJ' 'yxjI' 'ycdA' 'epr'],[],[],[],[],[],[],[],[],[],[],[]
