,A,YvrHb,WalR,DegU,SigA
R2,,0.15144971241065197,0.12078677080371314,0.035066568104176965,0.0
xmin,,7.1796,7.7201,8.029,10.6334
xmid,,8.165101531023085,9.388562990494881,,
xmax,,13.2976,13.622,14.6723,14.8203
ystart,,-5.411956205395647,-6.640634099233804,-7.696280917400983,1.5552878083626416
yend,,9.533884053875102,7.760288249573954,4.138021802550977,1.5552878083626416
LBexp_1,12.5143801202,11.6418,12.9905,13.5661,13.9229
LBexp_2,12.2307227706,11.4401,12.8533,13.5189,13.6986
LBexp_3,11.5015028553,11.0067,12.5473,13.3292,13.5366
LBtran_1,-1.0711840887,11.7075,11.8316,13.981,13.5861
LBtran_2,2.7025849802,10.8032,11.6571,13.7236,13.6947
LBtran_3,2.4902576189,10.568,11.830400000000001,13.6686,13.6814
LBstat_1,-0.6820313388,9.8508,11.5225,13.6433,13.746
LBstat_2,3.2849282549,9.1929,11.1339,13.4451,13.8294
LBstat_3,1.2413529947,8.8884,10.7087,13.2343,13.7637
LBGexp_1,16.6547804757,11.5105,12.613,13.6783,14.0966
LBGexp_2,14.5770742766,11.657399999999999,11.8841,13.6521,13.9632
LBGexp_3,15.9517907794,11.4507,12.702,13.723700000000001,14.2782
LBGtran_2,-10.1504479519,10.626,12.2169,13.3078,13.6213
LBGtran_3,-5.7061042602,11.8933,12.3818,13.8581,13.9309
LBGstat_1,-14.2038651427,8.0547,12.8926,12.2154,13.8958
LBGstat_2,-13.2481325502,8.1651,12.049,11.849,13.2182
LBGstat_3,-11.7642306468,9.8235,12.2268,12.7752,12.9318
S0_1,10.6237320266,10.5396,11.5028,12.9921,13.7975
S0_2,9.5599378577,10.33,11.5442,13.1512,13.5336
S0_3,9.2510794153,10.3063,11.562100000000001,12.9784,13.7362
S1_1,-5.0191692903,11.2332,11.9591,13.892,14.1328
S1_2,-5.959079219,11.3189,11.9702,13.8873,14.2092
S1_3,-4.7538580902,11.5154,12.134,13.9823,14.064
S2_1,-14.5876745659,10.337,11.2581,14.0797,12.1327
S2_2,-15.1219700858,10.2408,11.0449,14.1692,12.2083
S2_3,-14.4419410942,9.7262,10.8902,13.907,11.9224
S3_1,-13.6898275434,9.795,11.0619,13.4108,13.7874
S3_2,-12.7600798259,10.0444,11.1922,13.2014,12.9115
S4_1,-10.7947094746,9.6347,11.1181,13.0457,13.3174
S4_2,-10.7735798456,8.7433,10.7356,12.5488,13.6235
S4_3,-10.0547464609,8.5142,10.3975,12.2942,13.5395
S5_1,-11.52101448,8.7487,10.3798,12.4504,13.9484
S5_2,-10.8761137923,9.0681,10.5332,12.7217,14.1419
S5_3,-11.0667120295,9.2092,10.4827,12.6752,13.9735
S6_1,-6.8567365553,7.5302,9.7519,11.3305,14.1058
S6_2,-6.1736134812,7.1796,7.7844,8.3291,14.8051
S6_3,-7.3805304207,7.7801,9.855,11.4844,13.7208
S6/t_1,-7.2946773661,7.7782,9.7168,11.1412,14.058
S6/t_2,-6.4832118948,7.336,7.7201,8.029,14.1715
S6_4,-10.8751530246,7.9331,9.4593,10.8318,13.8429
S6_5,-10.232814363,8.1328,9.9276,11.2525,14.2173
S6_6,-11.347285733,8.0799,10.0061,11.392900000000001,14.1053
S7_4,-10.9584101735,8.5434,9.9671,11.3238,13.8537
S7_5,-9.5247265736,8.5527,9.761800000000001,11.1311,13.728
S7_6,-9.7001915454,8.9201,10.1193,11.0893,13.6696
S8_4,-9.6395554534,8.3585,9.698,10.6604,13.1727
S8_5,-7.2650769217,8.5861,9.3077,9.6718,13.7501
G135_1,1.8684247753,10.9688,13.1023,13.397,14.5319
G135_3,0.127462724,9.2735,11.1683,11.6029,12.9564
G150_1,5.0683915888,11.0336,12.8521,13.1582,13.5516
G150_2,8.5561879196,11.2635,13.4553,13.5978,14.3711
G150_3,8.1544157925,11.5538,13.2736,13.6095,14.2475
G180_1,5.2389284678,10.6858,12.8111,13.4096,14.2981
G180_2,6.6391376151,10.9358,13.4041,13.8706,14.6324
G180_3,4.151956581,10.0855,12.1381,12.5623,13.5078
C30_1,-2.9608242345,10.1414,11.5095,12.2464,13.9429
C30_2,-2.5212597399,10.4001,11.7641,12.4706,13.9782
C90_1,4.8174681643,11.4365,11.4436,13.4003,13.9492
C90_2,6.736792726,11.7992,11.758,13.6858,14.0178
BI_1,4.1935427115,10.6605,11.8075,14.5042,13.9966
BI_2,4.6675110909,10.5853,12.1301,14.5186,14.2096
BC_2,-11.6206969288,9.2892,11.71,14.6723,14.5882
BC/t_1,-9.1967946687,8.5714,11.0978,14.2756,14.4731
BC/t_2,-10.1602679048,9.3869,11.5551,14.6046,14.5832
BC_1,-8.5860725754,8.3895,11.1454,14.3178,14.0031
Sw_1,0.3971773777,7.2728,11.6943,13.1456,14.5375
Sw_2,0.4803053866,7.8241,12.1498,13.5974,14.5394
BT_1,1.0718408554,7.8535,10.6357,13.5916,14.0683
BT_2,-0.12103815050000001,7.6157,9.9885,13.2855,13.4581
B36_1,0.0932500592,7.6639,12.1944,12.6741,13.5848
B36_2,-1.0526341883,7.7281,11.8363,12.6651,13.206
B60_1,-2.197380768,7.8747,12.5814,12.7604,12.6109
B60_2,-5.7527071933,8.903,12.4438,12.955,12.0737
M9exp_1,-0.0168022144,11.5702,12.3785,13.8161,13.9416
M9exp_2,-0.5320001664,11.1172,12.0523,13.4781,13.5344
M9exp_3,0.5488023808,10.9879,11.834,13.2579,12.9987
M9tran_1,7.3326708339,10.8421,11.5138,13.7473,12.9718
M9tran_2,7.1115012442,10.7746,11.5095,13.7378,12.9986
M9tran_3,6.487852286,10.8581,11.9124,13.9713,13.2089
M9stat_1,8.8213193004,8.5022,10.0051,11.7323,11.1238
M9stat_2,5.2722461189,8.5907,10.2793,12.0264,10.8989
M9stat_3,5.7047251661,8.2549,10.0953,11.8605,10.6334
M+G_1,3.4929769379,10.3059,11.7599,13.3509,13.2264
M+G_2,6.1059672127,11.0628,11.7286,13.2081,13.4217
M+G_3,5.1242333149,10.7747,11.8768,13.3341,13.511800000000001
Glu_1,7.6006328084,11.369,12.1593,13.7151,13.530100000000001
Glu_2,7.0201053313,11.191,12.3725,13.5266,13.6327
Glu_3,6.1836088957,11.388,12.3288,13.6245,13.7226
Fru_1,-0.5052531226,11.1619,12.1823,13.4097,14.0674
Fru_2,7.8250836093,11.4012,12.3595,13.7354,14.0951
Fru_3,7.0097944215,10.8425,11.5984,13.0759,13.1654
Mal_1,-0.15572796900000002,9.4973,11.4631,12.9453,13.4585
Mal_2,-3.5731249357,10.6998,11.655100000000001,13.0272,13.6349
Mal_3,-1.5478237958,10.7236,12.127,13.4797,13.4566
G+S_2,2.0025111692,9.8956,11.2142,12.8458,13.9115
G+S_3,-0.6161776516,10.3142,11.5704,13.2277,13.688
Pyr_1,1.0688551088,9.5784,10.874600000000001,12.5555,12.3939
Pyr_2,4.0002965467,10.1037,11.4399,12.9968,13.5458
Pyr_3,3.9544089612,9.9136,11.2088,12.6611,13.0023
Gly_1,7.9635259058,9.443200000000001,10.904,11.9109,12.5146
Gly_2,8.6339268258,10.0027,11.6264,12.8796,13.6785
Gly_3,7.8081833761,9.1947,10.1294,11.2945,12.1185
Glucon_1,-0.6812612897,10.1498,11.2491,12.5819,12.7107
Glucon_2,-1.5071062971,10.2704,11.8156,13.1135,13.0733
Glucon_3,-0.9957799785,10.2861,10.8296,11.9832,12.2186
aero_1,9.2814968841,11.4436,12.4831,13.7535,14.1133
aero_2,7.2027201159,10.3354,11.3133,13.0033,13.0753
aero_3,9.0441838607,11.2292,12.3498,13.747,14.043
nit_1,2.0445687182,10.6404,11.5472,13.3284,13.5453
nit_2,3.1694021865,11.0667,11.918800000000001,13.9555,13.5476
nit_3,1.8361470233000001,10.6487,11.6474,13.5191,13.1939
ferm_1,-1.1859979356,10.5146,11.4265,13.4291,13.3104
ferm_2,0.9110314299000001,10.4835,11.4669,13.3959,13.4516
ferm_3,-1.2098791312000001,10.6785,11.6338,13.8549,14.084
T-5.40H_1,9.2080633412,11.5729,12.6669,14.2768,13.7772
T-4.40H_1,10.7761384307,11.145199999999999,12.2985,14.0518,13.9864
T-3.40H_1,11.9060976632,11.134,12.2441,14.0516,13.7203
T-2.40H_1,11.4730850592,11.0071,11.9195,13.9575,13.5645
T-1.40H_1,8.3392893906,10.8684,11.9406,14.005,13.5384
T-1.10H_1,7.5515507935,11.0637,12.0976,13.8549,13.6837
