,rrmA
Cr_1,0.0021900245392457445
Cr_2,0.01636260206251252
Cr_3,0.020044732157529062
Cr_4,0.02479503815824551
Cr_5,0.04601884254348535
Cr_6,0.05627708289147679
Fe_1,-0.035614417778421205
Fe_2,-0.04848267153476499
Fe_3,-0.042921565867407634
Fe_4,-0.03638300652017264
Fe_5,-0.03455130077286267
Fe_6,-0.03401568680599607
Cd_1,0.002107008241432641
Cd_2,0.008599453105047538
Cd_3,0.016453241298911306
Cd_4,0.02109986764307077
Cd_5,0.02570320313354676
Cd_6,0.036417085927503874
Zn_1,0.022090722010786903
Zn_2,0.02714952622148076
Zn_3,0.04737195682987223
Zn_4,0.0523002126788029
Zn_5,0.07051040659041458
Zn_6,0.07178916406113825
Cu_1,0.004515670323095536
Cu_2,0.01079981526431553
Cu_3,0.02197703546489964
Cu_4,0.031054310487553482
Cu_5,0.04005402767656285
Cu_6,0.05148939845309326
Pb_1,-0.001539097955283933
Pb_2,0.011595120339529169
Pb_3,0.015321112699995344
Pb_4,0.026586424785740883
Pb_5,0.040710826831415116
Pb_6,0.04320674145644636
