,hofM
Cr_1,0.000652887004006652
Cr_2,0.002755625800604864
Cr_3,0.0063565262910061605
Cr_4,0.007361276488920372
Cr_5,0.006872606676630758
Cr_6,0.0013700388706764373
Fe_1,-0.012349213369099013
Fe_2,-0.03271826094532849
Fe_3,-0.04484983123916176
Fe_4,-0.056933335710380624
Fe_5,-0.06086198639665081
Fe_6,-0.063775991149739
Cd_1,0.0034708583121915186
Cd_2,0.007666499075602936
Cd_3,0.012629684422738348
Cd_4,0.014155591124464616
Cd_5,0.011262276205826163
Cd_6,0.010248097236331723
Zn_1,-0.005837112023678399
Zn_2,-0.008917495054888962
Zn_3,-0.003489133333341293
Zn_4,0.00378075117708495
Zn_5,0.008961704967863854
Zn_6,0.011793006625607007
Cu_1,0.003813477415708549
Cu_2,0.012110759332521587
Cu_3,0.024407604830309126
Cu_4,0.035791252549199445
Cu_5,0.04421065508159306
Cu_6,0.05275071259936054
Pb_1,0.002431736380845249
Pb_2,0.005420681867207399
Pb_3,0.010757049593147687
Pb_4,0.022456381985510955
Pb_5,0.03069224687327702
Pb_6,0.04439228114646473
