,artP
Cr_1,0.001823893733044721
Cr_2,0.006295976140543803
Cr_3,0.014112076161525891
Cr_4,0.021366201248580977
Cr_5,0.03096539655974638
Cr_6,0.03840627892616681
Fe_1,-0.002371631676907435
Fe_2,-0.009084605462157893
Fe_3,-0.014151385051418443
Fe_4,-0.02091956632432557
Fe_5,-0.02097402055545716
Fe_6,-0.019469808034863357
Cd_1,0.0009557313254111783
Cd_2,0.0018739626585550075
Cd_3,0.002443603345382424
Cd_4,0.00019321429272639167
Cd_5,-0.006508262134852735
Cd_6,-0.006900668100542037
Zn_1,-0.0098152812953452
Zn_2,-0.020336943846273436
Zn_3,-0.02167618946436825
Zn_4,-0.01579330607902223
Zn_5,-0.0029904754335714307
Zn_6,0.009687121960552509
Cu_1,0.0021850892112913896
Cu_2,0.009476773912385422
Cu_3,0.015938568859073254
Cu_4,0.018250860838143087
Cu_5,0.022401127761891532
Cu_6,0.03180412355331424
Pb_1,0.005050818304724018
Pb_2,0.00932416658378558
Pb_3,0.011814609457970377
Pb_4,0.0122036014303663
Pb_5,0.016444668749632015
Pb_6,0.025654794442229047
