,ppiC
Cr_1,-0.006196874654856604
Cr_2,-0.013683231555946931
Cr_3,-0.010217511994610046
Cr_4,-0.009619456343471442
Cr_5,-0.009390373692395846
Cr_6,-0.01299974055323169
Fe_1,-0.027037904409400543
Fe_2,-0.031060322874432764
Fe_3,-0.022485813686375943
Fe_4,-0.021572985748899598
Fe_5,-0.025587531846796244
Fe_6,-0.023812440364162614
Cd_1,0.0002792336569439956
Cd_2,9.473773518787192e-05
Cd_3,0.006438429476262846
Cd_4,0.011634305516071343
Cd_5,0.010858693319808214
Cd_6,0.013544314062640929
Zn_1,0.07397845693278937
Zn_2,0.15022250809114046
Zn_3,0.19586287011531506
Zn_4,0.24912671188910915
Zn_5,0.2880880156080332
Zn_6,0.31111036000332426
Cu_1,0.003062461732339041
Cu_2,0.009874004758264849
Cu_3,0.019260702215585776
Cu_4,0.026864951490373577
Cu_5,0.033073864713641495
Cu_6,0.04083044628363239
Pb_1,0.0037954566894088187
Pb_2,0.01300755636375691
Pb_3,0.021331853855046743
Pb_4,0.033164132878624686
Pb_5,0.04659712361396975
Pb_6,0.06363653025725861
