,dgkA
Cr_1,0.010421263483357705
Cr_2,0.017112146492002232
Cr_3,0.026736880459635168
Cr_4,0.03742621615064397
Cr_5,0.044204236682160974
Cr_6,0.05278528523886361
Fe_1,-0.004687297674041472
Fe_2,-0.020534245072533614
Fe_3,-0.039980734352155364
Fe_4,-0.06815081154360447
Fe_5,-0.08938379595535056
Fe_6,-0.1052985124502959
Cd_1,0.00018315355613396177
Cd_2,0.0047963698973036905
Cd_3,0.010346010608469292
Cd_4,0.012995362102342015
Cd_5,0.012769252332898079
Cd_6,0.01737839817732228
Zn_1,-0.001591176225075924
Zn_2,0.005468392051403321
Zn_3,0.02462578957779509
Zn_4,0.04765057875811469
Zn_5,0.06406900938663285
Zn_6,0.08266154384486779
Cu_1,0.0055420611463025005
Cu_2,0.010349780119408772
Cu_3,0.01615713773735796
Cu_4,0.015571474648697337
Cu_5,0.02159686770311245
Cu_6,0.030267437099545862
Pb_1,0.0010091653090613009
Pb_2,0.0033723539463280864
Pb_3,0.012345408083916631
Pb_4,0.012341001391777608
Pb_5,0.012854410734597765
Pb_6,0.011287695485486192
