,pitA
Cr_1,-0.0012608273176523866
Cr_2,-0.0008402610758042909
Cr_3,0.004525189703062343
Cr_4,0.009475374228269362
Cr_5,0.013708877210020431
Cr_6,0.017205902920384812
Fe_1,-0.007214741484805373
Fe_2,-0.013398981244766616
Fe_3,-0.00828620218530046
Fe_4,-0.005336686203035767
Fe_5,-0.004271334964606265
Fe_6,-0.002735844887155589
Cd_1,0.0016161598076653285
Cd_2,0.0028498946173867072
Cd_3,0.0031128939740823645
Cd_4,0.0030426383748947137
Cd_5,-0.0027017855522993924
Cd_6,-0.004345813114218207
Zn_1,-0.005862305086917111
Zn_2,-0.010493312581835402
Zn_3,-0.013726554111014049
Zn_4,-0.015512190550781187
Zn_5,-0.017233677616987332
Zn_6,-0.01785941334570468
Cu_1,0.004594181581516298
Cu_2,0.007973261525684925
Cu_3,0.014049592467361777
Cu_4,0.01667871774501143
Cu_5,0.02307658111029581
Cu_6,0.030167541936894714
Pb_1,0.00597274868173838
Pb_2,0.01106699272558188
Pb_3,0.020816653945795398
Pb_4,0.035037320389380726
Pb_5,0.04691481219442213
Pb_6,0.05692392023139035
