,rimL
Cr_1,0.0023129138178823233
Cr_2,0.004763326075183334
Cr_3,0.006324379367916892
Cr_4,0.008258023491653542
Cr_5,0.01054382406846878
Cr_6,0.01227528368162275
Fe_1,-0.006094112863322211
Fe_2,-0.011874570147291576
Fe_3,-0.015025055193547559
Fe_4,-0.016354056109422983
Fe_5,-0.012225280089148659
Fe_6,-0.008820026672004582
Cd_1,0.0026630645677998463
Cd_2,0.0050436681859207565
Cd_3,0.006142456861980382
Cd_4,0.0063150394497005075
Cd_5,0.0053915714891025965
Cd_6,0.008184865400465102
Zn_1,-0.0045357713869154034
Zn_2,-0.0019530533147954657
Zn_3,0.005281694886256264
Zn_4,0.01476042864862245
Zn_5,0.02453177987684333
Zn_6,0.03349912642113094
Cu_1,9.026653011435329e-05
Cu_2,0.0049241662655154774
Cu_3,0.012420330623416695
Cu_4,0.01997940081539844
Cu_5,0.025492507555776787
Cu_6,0.02711797615974922
Pb_1,-0.0010630134458466266
Pb_2,0.0009927441441941512
Pb_3,0.0035134207418557155
Pb_4,0.003531036463522024
Pb_5,0.001082278378265576
Pb_6,-0.0007947633451710785
