,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
0,aat__00m_00s,0.0,0.3194973561955228,3.0,0.0,-0.08795450810000001,6.0,-0.2663073959,12.0,0.354261904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,0.11875826356666667,0.40138319149001755,3.0,1.0,-0.3008511794,7.0,0.1581094637,13.0,0.4990165064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-0.11561075723333332,0.4624927132097017,3.0,2.0,-0.3684935881,8.0,-0.39652326060000004,14.0,0.418184577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-0.3091139652666666,0.5194886450286879,3.0,3.0,-0.7293794468,9.0,-0.4696578303,15.0,0.2716953813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-0.33061978313333334,0.45675063764606405,3.0,4.0,-0.5739603791,10.0,-0.6141780142000001,16.0,0.1962790439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-0.34090807093333336,0.5358444947316517,3.0,5.0,-0.6563360767,11.0,-0.6441801876000001,17.0,0.2777920515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,1.30443039,1.088617237990992,2.0,18.0,0.5346617589,71.0,2.0741990211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,1.6413450568999999,0.7526174772895892,3.0,19.0,1.9005852778,70.0,2.2300764955,205.0,0.7933733974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,0.13038501331250002,0.569346131464022,8.0,20.0,-1.087651566,32.0,0.43612273890000003,55.0,-0.0963668829,67.0,0.2628044526,126.0,0.0514932385,147.0,0.4199173165,203.0,0.1996011497,210.0,0.8571596592,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,0.3700378066999999,0.8705785390242505,3.0,21.0,-0.1601197563,34.0,-0.10455003360000001,61.0,1.37478321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,1.2126005302875,0.9539991857598417,8.0,22.0,1.5193221045,104.0,2.6731088067,111.0,0.438354656,133.0,0.5817944891,165.0,0.7747920661000001,238.0,1.2807413233,265.0,0.0018664621,270.0,2.4308243345,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,1.0288750328857144,0.7608744403323736,7.0,23.0,0.1189839802,56.0,0.1879543016,82.0,1.4150194481,118.0,2.1756086244,134.0,0.5969205637,137.0,1.5496029787999999,227.0,1.1580353334,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,0.125997423375,0.3866481457090451,4.0,24.0,-0.1042882388,101.0,0.2386930086,139.0,-0.2487077524,149.0,0.6182926761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,1.02441700695,0.6732912865166617,4.0,25.0,0.7290550262000001,123.0,0.8953008684,155.0,0.47312382900000005,191.0,2.0001883042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,0.7091314353333334,0.5726956314671393,3.0,26.0,0.3221870296,59.0,1.3670234983,159.0,0.43818377810000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,1.39278674744,0.8074301690097547,5.0,27.0,2.276417529,76.0,1.4798100739,146.0,1.079601927,162.0,0.1965327004,262.0,1.9315715069000001,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,0.9105975812,0.7884966745199204,4.0,28.0,-0.044983730900000005,94.0,1.8743028549,186.0,0.7986362973000001,231.0,1.0144349035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,-0.011502978466666666,0.7030493196966835,3.0,29.0,-0.571051011,49.0,-0.2410990098,260.0,0.7776410854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,0.8497666909799999,0.3604662107595951,5.0,30.0,0.5619022504,77.0,1.3417232458,172.0,0.7523355804,259.0,0.4967069261,280.0,1.0961654522,,,,,,,,,,,,,,,,,,,,,,,,,,
19,abx_mega__ctx_h2o,0.55824684335,0.5756056396106999,4.0,31.0,0.9085439241000001,40.0,1.1678769756,138.0,0.2177079244,192.0,-0.0611414507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,abx_mega__phos_h2o,0.49051302572857136,0.4640838844270535,7.0,33.0,-0.11264305200000001,39.0,0.46978436230000004,58.0,0.16519156940000002,122.0,1.0259585257,170.0,1.1928806299,244.0,0.3301936263,261.0,0.3622255185,,,,,,,,,,,,,,,,,,,,,,
21,abx_mega__polmyx_h2o,0.6713610568142858,0.8450881213336703,7.0,35.0,0.0093368259,79.0,-0.1936208881,92.0,1.1511440577,208.0,0.7399930475000001,251.0,0.46644184790000004,263.0,2.2930025005,299.0,0.23323000630000001,,,,,,,,,,,,,,,,,,,,,,
22,abx_mega__h2o-8b,-0.021767483266666655,0.6477812628729129,3.0,36.0,0.598781012,234.0,-0.6937187115,275.0,0.0296352497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,abx_mega__h2o-6,0.406591687,0.12973026545292388,3.0,37.0,0.4846334962,214.0,0.478304918,307.0,0.2568366468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,abx_mega__thio_dmso,0.9767361995000001,0.5067591342481884,4.0,38.0,1.3812420313,102.0,0.31715914710000004,248.0,1.3681059818,269.0,0.8404376378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,abx_mega__lzd_dmso,0.5767858163249999,0.49849574515823464,4.0,41.0,1.1928850181,178.0,-0.0245084937,249.0,0.5232782855,309.0,0.6154884554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,abx_mega__naoh-9,0.008073835349999996,0.12066314200357046,2.0,42.0,0.0933955613,294.0,-0.07724789060000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,abx_mega__dox_dmso,0.42466707838750006,0.8861885336548301,8.0,43.0,1.0930124229,142.0,1.3657186599,166.0,-0.036786578,177.0,0.6335458983000001,221.0,1.4457636496,256.0,-1.087651566,282.0,0.3113195856,305.0,-0.3275854452,,,,,,,,,,,,,,,,,,,,
28,abx_mega__phos_ethanol,0.02462301795000002,0.6873226752746721,2.0,44.0,-0.4613875066,154.0,0.5106335425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,abx_mega__teix_dmso,0.19867110272222221,0.3668649702286716,18.0,45.0,-0.305470618,54.0,0.937095953,106.0,0.17538672090000001,108.0,0.8524047251,135.0,0.2565032439,143.0,-0.173922661,150.0,0.8450517911000001,183.0,-0.13835950900000002,204.0,-0.059027821800000005,226.0,0.2680394318,253.0,0.1840899433,255.0,-0.0788031207,257.0,0.1204628118,264.0,-0.0151893106,268.0,0.3159040871,284.0,-0.0961113517,300.0,0.041416991800000004,306.0,0.44660854200000005
30,abx_mega__dmso-10,0.3454073925,0.23145036071311464,3.0,46.0,0.5677171775000001,57.0,0.3627166549,66.0,0.1057883451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,abx_mega__van_dmso,0.12153947112,0.7854243590888176,5.0,47.0,-1.087651566,72.0,0.2133998432,112.0,1.0802424408,156.0,0.3815348705,212.0,0.0201717671,,,,,,,,,,,,,,,,,,,,,,,,,,
32,abx_mega__ramo_h2o,-0.3497908425666667,0.23930011865974302,3.0,48.0,-0.2644041729,184.0,-0.16489598730000002,266.0,-0.6200723675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abx_mega__h2o-7,0.30532640206666667,0.3228986578889342,3.0,50.0,0.6748627471,245.0,0.16351996300000002,258.0,0.07759649610000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,abx_mega__cro_h2o,0.07188779655,0.4332684196101437,4.0,51.0,0.5662163184,119.0,-0.4767920268,120.0,0.008848974400000001,278.0,0.1892779202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,abx_mega__tric_ethanol,0.10364169965,0.1589322088828216,2.0,52.0,-0.008740343000000001,182.0,0.21602374230000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,abx_mega__nor_naoh,0.47153247738,0.3150924004299803,5.0,53.0,0.6102758058000001,90.0,0.6587153265,100.0,0.397086204,216.0,0.7367416488,293.0,-0.0451565982,,,,,,,,,,,,,,,,,,,,,,,,,,
37,abx_mega__rfp_ethanol,1.3277023662,1.3120185456901259,2.0,60.0,0.3999651555,78.0,2.2554395769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,abx_mega__amyc-d_dmso,0.668816408725,0.722474994399819,8.0,62.0,1.3363476013,91.0,0.7762508642,103.0,1.0040868294,105.0,0.7463542873,117.0,-0.2502690427,141.0,0.5005820699,174.0,-0.4302590886,201.0,1.667437749,,,,,,,,,,,,,,,,,,,,
39,abx_mega__sxt_dmso,0.67013150665,0.27351030102643686,4.0,63.0,0.5914806182,181.0,0.3650279634,207.0,0.7015160622000001,239.0,1.0225013828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,abx_mega__dmso-1,-0.2837561267,0.5422468605895681,2.0,64.0,0.0996703055,180.0,-0.6671825589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,abx_mega__pen_h2o,-0.04698398722,0.29301066007983145,5.0,65.0,-0.0634682058,69.0,0.015374530800000001,211.0,-0.1801098481,233.0,-0.4019380361,308.0,0.39522162310000003,,,,,,,,,,,,,,,,,,,,,,,,,,
42,abx_mega__cip_naoh,0.42636535024000005,0.485950275212991,5.0,68.0,0.8721819571,81.0,0.0565776661,128.0,-0.0342333213,217.0,1.0205191209,240.0,0.2167813284,,,,,,,,,,,,,,,,,,,,,,,,,,
43,abx_mega__h2o-1b,0.6090152174,1.3035185389585902,2.0,73.0,-0.3127115809,95.0,1.5307420157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,abx_mega__ery_h2o,0.965567881025,0.32659147026436564,4.0,74.0,0.9398964699000001,124.0,0.9960446395,131.0,0.5641748782,196.0,1.3621555365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,abx_mega__bacit_h2o,0.13291887192000001,1.5719158350365292,5.0,75.0,-0.7557875844,87.0,-0.5108810992,89.0,-0.4186062572,127.0,-0.5862618563,194.0,2.9361311567,,,,,,,,,,,,,,,,,,,,,,,,,,
46,abx_mega__tric_h2o,0.60256401175,0.7443267799904575,2.0,80.0,1.1288825252999999,243.0,0.0762454982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,abx_mega__bacit_dmso,2.3504447892,0.8848177507267494,3.0,83.0,1.8605643861,85.0,1.8189087548,304.0,3.3718612267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,abx_mega__gen_h2o,-0.4709425482499999,0.8721582569398397,2.0,84.0,0.1457664695,121.0,-1.087651566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,abx_mega__chl_dmso,-0.10535738293333334,0.3054517052358619,3.0,86.0,-0.4272000274,148.0,0.18051884470000001,202.0,-0.0693909661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,abx_mega__lvx_dmso,0.11986071185,0.2943306754897226,2.0,88.0,-0.08826250470000001,168.0,0.3279839284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,abx_mega__naoh-6,0.1420254051,0.3138826433086817,5.0,93.0,0.3892640741,144.0,-0.3025877558,153.0,0.4570708207,200.0,-0.0374429622,252.0,0.2038228487,,,,,,,,,,,,,,,,,,,,,,,,,,
52,abx_mega__rfp_h2o,1.7075921796,0.13581569861869391,3.0,96.0,1.8532353356,237.0,1.5844023842000001,285.0,1.685138819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,abx_mega__tet_h2o,0.5659999492250001,0.9219728061177934,4.0,97.0,-0.1889326393,169.0,1.8171712468,179.0,-0.0639716728,215.0,0.6997328622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,abx_mega__flavo_dmso,0.51386412065,0.421004117694449,4.0,98.0,-0.1031546633,132.0,0.8146394005,223.0,0.5993550401000001,297.0,0.7446167053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,abx_mega__zeocin_h2o,2.6702123451600004,2.346930420974193,5.0,99.0,0.509345846,173.0,4.6420473786,193.0,4.6577241565000005,213.0,3.7593613697,292.0,-0.217417025,,,,,,,,,,,,,,,,,,,,,,,,,,
56,abx_mega__valin_dmso,1.3341445669333334,1.463185000309428,3.0,107.0,1.9951999219,140.0,2.3501549351,276.0,-0.3429211562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,abx_mega__ethanol-10,0.1507938877666667,0.35769616164601886,3.0,109.0,0.5469602759000001,115.0,0.0538822744,286.0,-0.148460887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,abx_mega__inh_h2o,0.2597161691,0.6501856182796691,4.0,110.0,0.7493992837,145.0,-0.6986109229,185.0,0.5047633126000001,272.0,0.483313003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,abx_mega__doxo_dmso,-0.004252025299999999,0.16376247798701402,3.0,113.0,-0.019139722,283.0,-0.16006232410000001,301.0,0.16644597020000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,abx_mega__tmp_dmso,-0.03140743643333332,0.31583212838906344,6.0,114.0,0.2552848113,116.0,0.3386755059,206.0,-0.4441599667,218.0,-0.2103242766,222.0,0.1298186086,224.0,-0.2577393011,,,,,,,,,,,,,,,,,,,,,,,,
61,abx_mega__sacet_h2o,0.29049869765000014,1.9489987938418867,2.0,125.0,-1.087651566,289.0,1.6686489613000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,abx_mega__ethanol-8,-0.1692522175333333,0.2996015060167196,3.0,129.0,0.1395963487,161.0,-0.4586597765,188.0,-0.1886932248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,abx_mega__h2o-8a,0.05249027463333334,0.222091339347382,3.0,130.0,0.0047997461,247.0,-0.1418817224,281.0,0.2945528002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,abx_mega__naoh-2,0.01914452314999998,0.8502197684219261,2.0,136.0,0.6203406869,287.0,-0.5820516406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,abx_mega__ceru_ethanol,-0.038817284366666614,0.9102017560645318,3.0,151.0,0.42705735910000003,197.0,0.5441423538,225.0,-1.087651566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,abx_mega__dmso-7,0.20835124370000002,0.5843470396803537,3.0,152.0,-0.0030759667,236.0,0.8689840897000001,295.0,-0.24085439190000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,abx_mega__h2o-10,0.43819929796666673,0.0921848245882661,3.0,157.0,0.5417900018,158.0,0.3651962483,246.0,0.40761164380000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,abx_mega__mem_dmso,-0.20642502733333334,0.33490326316284136,6.0,160.0,-0.6477053557,167.0,0.1949171166,209.0,-0.3973917243,220.0,-0.4366364667,242.0,0.092020602,302.0,-0.0437543359,,,,,,,,,,,,,,,,,,,,,,,,
69,abx_mega__van_h2o,-0.03245503594,0.4345379999319109,5.0,163.0,-0.4490641272,232.0,0.3044665169,254.0,0.5333501235,288.0,-0.1531962748,296.0,-0.3978314181,,,,,,,,,,,,,,,,,,,,,,,,,,
70,abx_mega__dcs_h2o,0.33423886327499996,0.25632554212648595,4.0,164.0,-0.0108053779,230.0,0.3944656534,274.0,0.6067726552,279.0,0.34652252240000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,abx_mega__monac_dmso,0.17344923697499998,0.3794537618214856,4.0,171.0,0.2585534269,189.0,-0.182068171,250.0,-0.0531165046,290.0,0.6704281966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,abx_mega__fidax_dmso,0.441107631525,0.6894105790507146,4.0,175.0,1.4397664235,198.0,-0.1287547174,228.0,0.1496861498,267.0,0.3037326702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,abx_mega__h2o-1a,-3.33333360913457e-11,0.4505246851301372,3.0,176.0,0.10274353950000001,229.0,-0.4930224414,303.0,0.3902789018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,abx_mega__dmso-9,-0.5039445342,0.26060173742859305,3.0,187.0,-0.2169663464,190.0,-0.5690378033,241.0,-0.7258294529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,abx_mega__reta_dmso,1.661433517775,0.4822674475008524,4.0,195.0,0.9382379379,219.0,1.8862822992,235.0,1.9116281259,271.0,1.9095857081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,abx_mega__novo_dmso,0.831134707,0.5302606656146307,3.0,199.0,1.3750348009,273.0,0.31565665470000004,298.0,0.8027126654000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,abx_mega__h2o-2,0.22163830304999999,1.8516154898882036,2.0,277.0,-1.087651566,291.0,1.5309281720999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,abx_mega__daro,0.2978916994,0.6423132123487574,3.0,310.0,-0.1039349125,312.0,-0.0410725671,313.0,1.0386825778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,abx_mega__solv,-0.21048234506666666,0.2936393214387361,3.0,311.0,-0.46539210200000003,314.0,0.1105953961,315.0,-0.2766503293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,abx_mega__dmso-4,2.8843471084666668,0.1389214229664536,3.0,316.0,2.7961330299,320.0,3.0444837518,321.0,2.8124245437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,abx_mega__kirr_dmso,1.2887391300666666,0.3936270416669245,3.0,317.0,1.1071797439,318.0,1.0186595848,319.0,1.7403780615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ackA_pta__dnaA46_del_ackA,-0.5676342012333334,0.39419372530232705,3.0,322.0,-0.9009382083,323.0,-0.1325235934,324.0,-0.669440802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ackA_pta__dnaA46_del_pta,0.6894160701666667,1.914350194592848,3.0,325.0,1.4519522183,326.0,2.1049898463,327.0,-1.4886938541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ackA_pta__dnaA46,0.1796950305666666,0.8935934851039252,3.0,328.0,1.0781415783,329.0,-0.7089650047,330.0,0.16990851810000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ackA_pta__del_ackA,-0.33944935863333336,0.7424817387147709,3.0,331.0,-0.41961451920000004,332.0,0.4398620716,333.0,-1.0385956283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ackA_pta__del_pta,0.6256105252666666,1.109328694112536,3.0,334.0,-0.30305105790000003,335.0,1.8540099653,336.0,0.3258726684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ackA_pta__wt,-3.700743415417188e-17,1.3537684977895408,3.0,337.0,1.4227993205,338.0,-1.2721319634000001,339.0,-0.1506673571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,anticancer__5fu,-0.7627540614666667,0.24455465755552722,3.0,340.0,-0.49588440200000006,341.0,-0.9761414970000001,348.0,-0.8162362854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,anticancer__cap,-0.7001996102333333,0.24271986174043989,3.0,342.0,-0.950163046,343.0,-0.4654379221,344.0,-0.6849978626000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,anticancer__wt,-3.33333360913457e-11,0.4470261524853961,3.0,345.0,0.18689503200000002,346.0,-0.5101429279,347.0,0.3232478958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,bio_pln__aero_pln,0.0,0.4965474158101311,2.0,349.0,0.35111204490000003,350.0,-0.35111204490000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,bio_pln__anaero_pln,0.23678446184999996,1.255060353771196,2.0,351.0,1.1242461488,352.0,-0.6506772251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,biocide__bzcl_12h,-1.9748818226999998,2.3525654074035796,3.0,353.0,-0.5749318985,354.0,-4.6909592508,355.0,-0.6587543188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,biocide__etoh_12h,-0.22311037923333332,0.039960626921528616,3.0,356.0,-0.20931662950000002,357.0,-0.19187392150000002,358.0,-0.2681405867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,biocide__gluald_12h,-0.4326933333666667,0.20714187585287208,3.0,359.0,-0.2793605657,360.0,-0.6683394439,361.0,-0.3503799905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,biocide__h2o2_12h,-0.28527305109999995,0.14373596755116705,3.0,362.0,-0.1484739334,363.0,-0.2722813978,364.0,-0.4350638221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,biocide__2ppoh_12h,-1.438402146066667,0.15278098013146182,3.0,365.0,-1.3983971567,366.0,-1.3096036713,367.0,-1.6072056101999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,biocide__paa_12h,-1.6261811302666667,1.1420825777524786,3.0,368.0,-0.8051927553,369.0,-1.1428989584,370.0,-2.9304516770999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,biocide__phe_12h,-1.4395519705333335,0.3460099556924634,3.0,371.0,-1.5690585428000001,372.0,-1.0474702175,373.0,-1.7021271513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,biocide__pvp-i_12h,-2.8163965358000005,2.051833849080011,3.0,374.0,-4.5122275777,375.0,-0.5356028092,376.0,-3.4013592205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,biocide__bleach_12h,-1.0493228624,0.24286085212630457,3.0,377.0,-0.9981925574,378.0,-1.3136780114,379.0,-0.8360980184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,biocide__chx_12h,-3.2939055477333334,0.9751269590566349,3.0,380.0,-2.2406786553,381.0,-4.1653485476,382.0,-3.4756894403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,biocide__bzcl_30m,-0.7579267439666667,0.19787505298796754,3.0,383.0,-0.5749634656,384.0,-0.9679320756,385.0,-0.7308846907000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,biocide__phe_30m,0.7200592312666667,0.11434871630394638,3.0,386.0,0.695206922,387.0,0.6201804396,388.0,0.8447903322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,biocide__pvp-i_30m,-0.0167743871,0.1886009883729868,3.0,389.0,0.1323591073,390.0,-0.228781061,391.0,0.046098792400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,biocide__ctrl_12h,0.2516079433333333,0.16887012572180318,3.0,392.0,0.1988029034,393.0,0.4405707296,394.0,0.115450197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,biocide__ctrl_30m,0.0,0.1279987103422881,3.0,395.0,0.08922664250000001,396.0,0.057428947200000004,397.0,-0.1466555897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,clpP__wt,-1.1564823173178713e-18,0.027264943331397725,3.0,398.0,-0.029092162100000003,400.0,0.0041243867000000005,402.0,0.0249677754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,clpP__wt_DPTA,-2.3882217233333334,0.24194820510492535,3.0,399.0,-2.5649003755,401.0,-2.1124592814,403.0,-2.4873055131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,clpP__delclpP,1.2638015488999998,0.02991757227635594,3.0,404.0,1.2822423612,406.0,1.2798796301,408.0,1.2292826554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,clpP__delclpP_DPTA,-0.9767552476999999,0.07466928935614953,3.0,405.0,-1.0097589856,407.0,-0.8912710061,409.0,-1.0292357514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
