,rpsG
Cr_1,-0.002233533069256589
Cr_2,-4.707589521052829e-05
Cr_3,0.0068999967705155795
Cr_4,0.009670672795233143
Cr_5,0.011263898174467416
Cr_6,0.015572329558941188
Fe_1,-0.0004285413376236868
Fe_2,-0.006980063089194438
Fe_3,-0.0031467640484576288
Fe_4,-0.003177503403598807
Fe_5,0.0054061077631308106
Fe_6,0.033544980548077134
Cd_1,0.0026087027540978797
Cd_2,0.006653029001652999
Cd_3,0.01195804803219524
Cd_4,0.018248376886290142
Cd_5,0.013880652159393346
Cd_6,0.015321284990004128
Zn_1,-0.002893825550244509
Zn_2,-0.002883361314400907
Zn_3,0.0052802587668832855
Zn_4,0.02137312361764937
Zn_5,0.03950912831553804
Zn_6,0.04281292156620504
Cu_1,0.0053188664993723935
Cu_2,0.012135220301812934
Cu_3,0.019511195071939283
Cu_4,0.023586869972009945
Cu_5,0.03103864466171265
Cu_6,0.03664550300228138
Pb_1,-9.334938263189765e-05
Pb_2,-0.0007905741516883981
Pb_3,0.0015469962312993073
Pb_4,0.006204989811920282
Pb_5,0.008369560443105757
Pb_6,0.016019804937892606
