,ampH
Cr_1,0.033905183443244724
Cr_2,0.06871612391479917
Cr_3,0.14985218688521304
Cr_4,0.3155883804688433
Cr_5,0.6842770464498364
Cr_6,1.998822528747054
Fe_1,-0.009045869885371007
Fe_2,-0.01843652122049639
Fe_3,-0.029952108232501
Fe_4,-0.04983409389891938
Fe_5,-0.0689516257605544
Fe_6,-0.08361961724720787
Cd_1,0.01599897680400529
Cd_2,0.021887174316303774
Cd_3,0.022869153287788786
Cd_4,0.03426961979453586
Cd_5,0.04891163683252757
Cd_6,0.07523688063153028
Zn_1,-0.0021184880211486986
Zn_2,-0.005590906053837226
Zn_3,-0.006777978556191031
Zn_4,-0.013072840204164122
Zn_5,-0.02712543425104958
Zn_6,-0.040301577036658036
Cu_1,-0.002336796551120758
Cu_2,-0.0009683064598992287
Cu_3,-0.0010305273789556024
Cu_4,-0.0042215822333615295
Cu_5,-0.005234558724531841
Cu_6,-0.0018133248408705625
Pb_1,0.006279559451251172
Pb_2,0.018873458508074
Pb_3,0.03366568130258999
Pb_4,0.047556517193473716
Pb_5,0.0643178852596814
Pb_6,0.07869460963007695
