,thiC
Cr_1,0.0013398270058207352
Cr_2,0.0017595398548136676
Cr_3,0.001419120801614352
Cr_4,0.004756294705849347
Cr_5,0.011391978026966868
Cr_6,0.01738375101916566
Fe_1,-0.038017474149448935
Fe_2,-0.097796279515926
Fe_3,-0.16138735524461426
Fe_4,-0.2293091758401265
Fe_5,-0.2901321462682023
Fe_6,-0.3540726192004918
Cd_1,0.0008548247114669432
Cd_2,0.006044515249959953
Cd_3,0.011678607304309866
Cd_4,0.022609754990083896
Cd_5,0.02839754419604725
Cd_6,0.037661212666628086
Zn_1,0.09207181130254492
Zn_2,0.16854172911934304
Zn_3,0.24722832973725944
Zn_4,0.3272688678046761
Zn_5,0.4038687890770101
Zn_6,0.4607677062757175
Cu_1,0.0031001140614400746
Cu_2,0.006006442550277877
Cu_3,0.008106837236429972
Cu_4,0.013763203047525888
Cu_5,0.020344945989617825
Cu_6,0.028848710542914782
Pb_1,0.002070240059010869
Pb_2,0.00464135345861687
Pb_3,0.011045659860585037
Pb_4,0.0158058165431082
Pb_5,0.017645916644242424
Pb_6,0.018857058200770015
