,glnW
Cr_1,-0.0026648667857692913
Cr_2,-0.010405011555917587
Cr_3,-0.0062925032732887715
Cr_4,-0.00619749486355143
Cr_5,0.002553566419612466
Cr_6,0.013094390571906284
Fe_1,-0.035348920822178345
Fe_2,-0.08911169835803665
Fe_3,-0.008528802858777716
Fe_4,-0.0292768563292961
Fe_5,-0.007198476482258805
Fe_6,0.05182102428202208
Cd_1,0.003381090139104434
Cd_2,0.0003178559707190082
Cd_3,0.003664238342562985
Cd_4,0.007859023062235371
Cd_5,0.005026674982191451
Cd_6,0.006423818384763287
Zn_1,0.6541509897805718
Zn_2,1.6643990295716402
Zn_3,2.745522318214212
Zn_4,3.2749618993454037
Zn_5,3.4855581253577106
Zn_6,3.535845523240269
Cu_1,0.006998130767876754
Cu_2,0.008883958654453806
Cu_3,0.012542055679637546
Cu_4,0.00984160215935128
Cu_5,0.01344713284582074
Cu_6,0.02084859514284075
Pb_1,0.003951662463043757
Pb_2,0.01720619301318965
Pb_3,0.027618303837822957
Pb_4,0.03632472371267289
Pb_5,0.03082673702891258
Pb_6,0.031191742452294863
