locus,gene_weight,gene_name,gene_product,cog,regulator,nanR,link
STM1131,0.3165394472,STM1131,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,"crp,nagC,nanR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1131
STM1130,0.3011913044,STM1130,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,"crp,nagC,nanR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1130
STM1129,0.2290858329,STM1129,putative inner membrane protein,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1129
STM1132,0.2169008862,STM1132,putative sugar transport protein,"Intracellular trafficking, secretion, and vesicular transport","nanR,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1132
STM1128,0.1888866582,STM1128,putative sodium/glucose cotransporter,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1128
STM3339,0.1744098363,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,"crp,fis,nac,nanR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3339
STM3335,0.1658477672,yhcH,putative cytoplasmic protein,Carbohydrate transport and metabolism,"crp,fis,nac,nanR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3335
STM3336,0.1513778148,nanK,putative ManNAc kinase,Nucleotide transport and metabolism,"crp,fis,nac,nanR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3336
STM3338,0.14500085000000001,nanT,MFS family sialic acid transport protein,Amino acid transport and metabolism,"crp,fis,nac,nanR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3338
STM1133,0.1336111783,STM1133,putative dehydrogenases and related proteins,Function unknown,"nanR,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1133
STM3337,0.1332016772,nanE,putative ManNAc-6P epimerase,Carbohydrate transport and metabolism,"crp,fis,nac,nanR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3337
