,ampD
Cr_1,-0.0004920369912913591
Cr_2,0.010121036208432712
Cr_3,0.016716629653692576
Cr_4,0.03424933741299817
Cr_5,0.06060626404168053
Cr_6,0.06679893806435794
Fe_1,-0.025896754163014152
Fe_2,-0.03722472043490658
Fe_3,-0.04427608341250162
Fe_4,-0.06030418394641743
Fe_5,-0.07110157700749721
Fe_6,-0.0821571118264192
Cd_1,-0.005794057466477806
Cd_2,0.0022682741219088604
Cd_3,0.015986559444824976
Cd_4,0.023725297714881573
Cd_5,0.032363380444792096
Cd_6,0.053637084462195325
Zn_1,-0.01434375012640511
Zn_2,-0.02031278468025904
Zn_3,-0.031194740538180638
Zn_4,-0.02533659792690764
Zn_5,0.019502221685285943
Zn_6,0.06617592438379831
Cu_1,-0.004883827707605694
Cu_2,0.004909584380378071
Cu_3,0.017394690882472082
Cu_4,0.02343877336920736
Cu_5,0.0322613061097585
Cu_6,0.04668133871949883
Pb_1,0.005947484977656883
Pb_2,0.00683987159738492
Pb_3,0.006167067210026369
Pb_4,0.0023124496227836713
Pb_5,-0.0013603963324710369
Pb_6,-0.004465626986220325
