,metC
Cr_1,0.014589341248135504
Cr_2,0.02408292340425497
Cr_3,0.03392078321903226
Cr_4,0.0430662716107686
Cr_5,0.05152266489134468
Cr_6,0.05788217630652279
Fe_1,-0.004799122174758562
Fe_2,-0.019113235522625387
Fe_3,-0.031981424680505424
Fe_4,-0.04279873885474754
Fe_5,-0.05401378807722646
Fe_6,-0.05869918130894952
Cd_1,-0.01930448811067113
Cd_2,-0.03733884597572553
Cd_3,-0.05053910882366682
Cd_4,-0.06539440235947465
Cd_5,-0.0807009092693911
Cd_6,-0.0879168750724006
Zn_1,-0.0015520721723355619
Zn_2,-0.005610036713184829
Zn_3,-0.011532974719971554
Zn_4,-0.013634275701271702
Zn_5,-0.013938001475266769
Zn_6,-0.011079546443418345
Cu_1,0.007101685674889989
Cu_2,0.015951580959674447
Cu_3,0.02941414907379868
Cu_4,0.04054328324488129
Cu_5,0.05018317354026184
Cu_6,0.057806393508321625
Pb_1,0.0002959028520130907
Pb_2,-0.0021431270219907077
Pb_3,-0.003253246454142904
Pb_4,-0.005994893752452008
Pb_5,-0.005595274022243521
Pb_6,-0.00501150387961348
