,ynjF
Cr_1,0.0030993618599834405
Cr_2,0.0030572745214288858
Cr_3,-0.002287125197965309
Cr_4,0.00039291985631922835
Cr_5,-0.0004700494598366085
Cr_6,-0.0035097090980638003
Fe_1,-0.00863469505194486
Fe_2,-0.01846964024620061
Fe_3,-0.017490628875010676
Fe_4,-0.018495853658217924
Fe_5,-0.02637213329961977
Fe_6,-0.031116526008459967
Cd_1,0.003647875635350551
Cd_2,0.003153625287326542
Cd_3,0.003305316909977225
Cd_4,0.007034998784378393
Cd_5,0.006817836730134809
Cd_6,0.011141833723627977
Zn_1,0.0023348459242558705
Zn_2,0.0029390533210862137
Zn_3,0.004426070187944365
Zn_4,0.0127283028460311
Zn_5,0.028718319172543718
Zn_6,0.049168958714022284
Cu_1,0.002870671315127945
Cu_2,0.007874425807271603
Cu_3,0.01770814379304129
Cu_4,0.020514956392124018
Cu_5,0.02090768111404104
Cu_6,0.0260042264256034
Pb_1,0.002731929569675233
Pb_2,0.00926523471343458
Pb_3,0.01885492423731469
Pb_4,0.030280034900417856
Pb_5,0.04410465623990936
Pb_6,0.05607769089730101
